date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,1.75,0.03875968992248062,46.8,47.75,45.7,46.9,46.73,1016900.0,0
02/03/2020,-0.3500000000000014,-0.007692307692307724,45.9,45.9,45.0,45.15,45.54,568290.0,0
28/02/2020,-1.6000000000000014,-0.033970276008492596,46.0,46.4,45.05,45.5,45.71,972320.0,0
27/02/2020,0.10000000000000142,0.0021276595744681155,47.0,47.7,46.45,47.1,46.86,722680.0,0
26/02/2020,-1.7999999999999972,-0.03688524590163929,47.6,48.3,46.85,47.0,47.43,626350.0,0
25/02/2020,2.5,0.05399568034557236,45.0,48.8,45.0,48.8,46.95,878610.0,0
24/02/2020,-3.200000000000003,-0.0646464646464647,48.2,48.8,46.3,46.3,47.49,1081210.0,0
21/02/2020,-1.7999999999999972,-0.035087719298245564,51.3,51.3,48.75,49.5,49.79,2619020.0,0
20/02/2020,0.0,-0.0,51.9,52.0,51.2,51.3,51.52,552810.0,0
19/02/2020,-0.7000000000000028,-0.013461538461538516,52.0,52.1,51.2,51.3,51.55,372250.0,0
18/02/2020,0.5,0.009708737864077669,51.9,52.6,51.5,52.0,52.11,879430.0,0
17/02/2020,1.5,0.03,50.2,51.5,50.1,51.5,50.99,863730.0,0
14/02/2020,-0.3999999999999986,-0.007936507936507908,50.1,50.6,50.0,50.0,50.11,627040.0,0
13/02/2020,-0.3999999999999986,-0.007874015748031468,50.7,51.0,49.9,50.4,50.38,578820.0,0
12/02/2020,0.0,-0.0,51.5,51.8,50.7,50.8,51.1,704550.0,0
11/02/2020,1.6999999999999957,0.034623217922606836,49.1,51.4,49.1,50.8,50.44,917080.0,0
10/02/2020,-2.6000000000000014,-0.05029013539651841,50.9,51.2,49.1,49.1,50.29,1111680.0,0
07/02/2020,-1.5,-0.02819548872180451,52.7,53.3,51.6,51.7,52.2,1501140.0,0
06/02/2020,-0.29999999999999716,-0.0056074766355139645,53.4,54.1,53.0,53.2,53.53,1469930.0,0
05/02/2020,-0.8999999999999986,-0.0165441176470588,54.9,55.2,53.5,53.5,54.08,718710.0,0
04/02/2020,0.8999999999999986,0.01682242990654203,54.4,54.7,53.6,54.4,54.1,1406270.0,400220.0
03/02/2020,2.0,0.038834951456310676,49.8,55.0,47.9,53.5,50.11,1562560.0,0
31/01/2020,-1.2000000000000028,-0.022770398481973486,52.3,53.6,51.5,51.5,52.59,1154570.0,0
30/01/2020,-2.799999999999997,-0.0504504504504504,54.5,54.9,52.0,52.7,53.63,1388710.0,0
22/01/2020,1.5,0.027777777777777776,54.0,55.8,53.8,55.5,55.03,781390.0,30000.0
21/01/2020,0.7000000000000028,0.01313320825515953,53.3,54.5,53.3,54.0,53.78,609600.0,60000.0
20/01/2020,-0.20000000000000284,-0.003738317757009399,53.5,54.2,53.2,53.3,53.56,761650.0,0
17/01/2020,-0.5,-0.009259259259259259,54.1,54.6,53.1,53.5,53.76,643490.0,0
16/01/2020,3.0,0.0588235294117647,51.0,54.1,51.0,54.0,53.01,1004080.0,0
15/01/2020,0.0,-0.0,49.9,51.3,49.9,51.0,50.59,695290.0,0
15/01/2020,0.8999999999999986,0.017964071856287397,49.9,51.3,49.9,51.0,50.59,695290.0,0
14/01/2020,0.0,-0.0,50.1,51.5,49.9,50.1,50.37,752200.0,100000.0
13/01/2020,-1.1999999999999957,-0.023391812865496995,49.9,51.5,49.5,50.1,50.43,544740.0,0
10/01/2020,1.6499999999999986,0.033232628398791514,49.65,52.0,49.6,51.3,50.71,1506410.0,0
09/01/2020,2.549999999999997,0.05414012738853497,47.75,49.9,47.6,49.65,48.87,1573190.0,0
08/01/2020,0.3999999999999986,0.008565310492505323,46.0,47.9,45.8,47.1,46.95,1230830.0,0
07/01/2020,0.9000000000000057,0.019650655021834187,45.8,46.7,45.2,46.7,45.97,526890.0,0
06/01/2020,-0.9000000000000057,-0.019271948608137166,46.7,46.7,45.8,45.8,46.16,794490.0,0
03/01/2020,-0.19999999999999574,-0.0042643923240937255,47.35,47.5,46.7,46.7,47.12,603940.0,0
02/01/2020,0.0,-0.0,46.0,47.2,45.9,46.9,46.75,872620.0,0
