date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,1.0,0.018281535648994516,55.5,55.8,54.9,55.7,55.31,134260.0,0
02/03/2020,-0.19999999999999574,-0.0036429872495445494,54.9,55.5,54.7,54.7,55.17,150220.0,62000.0
28/02/2020,-1.5,-0.026595744680851064,55.0,55.5,54.5,54.9,54.85,225310.0,0
27/02/2020,0.8999999999999986,0.01621621621621619,55.6,56.4,54.6,56.4,55.25,240770.0,200000.0
26/02/2020,-1.3999999999999986,-0.024604569420035124,55.7,56.6,55.5,55.5,55.85,258550.0,0
25/02/2020,0.8999999999999986,0.016071428571428546,55.5,56.9,55.5,56.9,55.88,98010.0,0
24/02/2020,-2.5,-0.042735042735042736,54.5,57.5,54.5,56.0,56.14,211810.0,0
21/02/2020,1.0,0.017391304347826087,57.5,59.8,57.5,58.5,58.68,369290.0,0
20/02/2020,1.1000000000000014,0.019503546099290805,56.4,58.0,56.4,57.5,57.0,281140.0,0
19/02/2020,0.29999999999999716,0.00534759358288765,56.1,57.0,55.5,56.4,56.18,159970.0,0
18/02/2020,-0.29999999999999716,-0.005319148936170162,57.3,57.3,56.0,56.1,56.19,313670.0,0
17/02/2020,-0.6000000000000014,-0.01052631578947371,57.0,57.5,56.4,56.4,56.71,178000.0,0
14/02/2020,-0.5,-0.008695652173913044,57.5,57.7,57.0,57.0,57.24,215320.0,0
13/02/2020,0.0,-0.0,58.3,58.3,57.3,57.5,57.55,145610.0,0
12/02/2020,-0.29999999999999716,-0.005190311418685072,59.3,59.3,57.4,57.5,58.05,192330.0,0
11/02/2020,0.29999999999999716,0.005217391304347777,57.5,58.0,57.3,57.8,57.65,210080.0,0
10/02/2020,-2.299999999999997,-0.038461538461538415,59.7,59.7,57.2,57.5,57.91,208410.0,0
07/02/2020,1.3999999999999986,0.023972602739726002,59.6,59.8,58.6,59.8,59.54,158980.0,0
06/02/2020,1.6000000000000014,0.028169014084507067,58.0,58.4,57.1,58.4,57.93,176570.0,0
05/02/2020,1.0999999999999943,0.019748653500897564,55.9,57.1,55.8,56.8,56.63,298760.0,0
04/02/2020,0.10000000000000142,0.0017985611510791622,55.1,57.0,55.1,55.7,55.86,312880.0,0
03/02/2020,-3.1999999999999957,-0.05442176870748292,55.0,58.2,54.7,55.6,55.08,270730.0,0
31/01/2020,-4.300000000000004,-0.06814580031695727,63.1,64.6,58.8,58.8,62.19,176570.0,0
30/01/2020,-3.8999999999999986,-0.058208955223880574,65.9,66.0,62.5,63.1,64.19,335430.0,0
22/01/2020,1.0999999999999943,0.016691957511380792,65.3,67.0,65.2,67.0,65.96,156250.0,0
21/01/2020,0.5,0.0076452599388379195,65.8,65.9,65.2,65.9,65.5,119020.0,0
20/01/2020,-0.5,-0.007587253414264036,65.9,66.2,65.1,65.4,65.75,107680.0,0
17/01/2020,-0.09999999999999432,-0.001515151515151429,66.1,66.1,65.7,65.9,65.85,131930.0,0
16/01/2020,0.09999999999999432,0.001517450682852721,65.8,66.3,65.8,66.0,66.01,157100.0,0
15/01/2020,0.0,-0.0,66.4,66.4,65.3,65.9,65.86,92440.0,0
15/01/2020,-0.09999999999999432,-0.001515151515151429,66.4,66.4,65.3,65.9,65.86,92440.0,0
14/01/2020,-0.7000000000000028,-0.010494752623688198,66.5,67.0,65.0,66.0,65.6,171640.0,0
13/01/2020,-0.29999999999999716,-0.004477611940298465,66.9,67.0,66.5,66.7,66.72,63230.0,0
10/01/2020,1.9000000000000057,0.029185867895545406,66.0,67.3,65.0,67.0,66.32,136260.0,0
09/01/2020,-0.9000000000000057,-0.013636363636363722,67.2,67.2,65.1,65.1,66.32,157250.0,0
08/01/2020,-1.5,-0.022222222222222223,66.9,66.9,65.7,66.0,66.13,163230.0,0
07/01/2020,-0.09999999999999432,-0.0014792899408283184,67.9,68.0,67.4,67.5,67.59,67160.0,0
06/01/2020,-1.0,-0.01457725947521866,68.3,68.5,67.6,67.6,67.96,129160.0,0
03/01/2020,-0.4000000000000057,-0.005797101449275445,69.4,69.4,68.5,68.6,68.68,59290.0,0
02/01/2020,0.0,-0.0,68.6,69.5,68.6,69.0,69.2,87010.0,0
