date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,4.400000000000006,0.06875000000000009,65.5,68.4,65.1,68.4,67.45,238760.0,0
02/03/2020,1.7000000000000028,0.02728731942215093,62.3,65.0,62.0,64.0,63.98,166400.0,0
28/02/2020,-2.6000000000000085,-0.0400616332819724,62.9,64.3,62.0,62.3,62.7,129600.0,0
27/02/2020,2.4000000000000057,0.038400000000000094,62.1,65.0,62.1,64.9,64.18,147910.0,0
26/02/2020,-1.2999999999999972,-0.0203761755485893,62.0,63.8,61.5,62.5,62.79,79240.0,0
25/02/2020,1.5,0.024077046548956663,58.5,64.0,58.5,63.8,60.47,238120.0,0
24/02/2020,-4.6000000000000085,-0.06875934230194332,65.0,65.1,62.3,62.3,62.95,264160.0,0
21/02/2020,-0.6999999999999886,-0.01035502958579865,67.0,69.1,66.1,66.9,67.38,161430.0,0
20/02/2020,-2.4000000000000057,-0.034285714285714364,69.0,70.9,67.3,67.6,68.74,225110.0,0
19/02/2020,0.0,-0.0,69.5,71.2,69.0,70.0,70.22,133290.0,0
18/02/2020,2.0,0.02941176470588235,71.8,72.4,69.0,70.0,70.99,333580.0,0
17/02/2020,3.799999999999997,0.059190031152647926,64.2,68.0,63.3,68.0,66.53,250230.0,0
14/02/2020,-0.09999999999999432,-0.0015552099533436131,63.2,65.7,62.7,64.2,63.94,172420.0,0
13/02/2020,-0.7000000000000028,-0.010769230769230814,64.7,66.0,63.9,64.3,64.63,125260.0,0
12/02/2020,2.0,0.031746031746031744,62.5,66.7,61.7,65.0,63.19,437870.0,0
11/02/2020,2.299999999999997,0.0378912685337726,62.0,64.9,62.0,63.0,63.54,454660.0,0
10/02/2020,3.9000000000000057,0.06866197183098602,58.6,60.7,57.0,60.7,59.99,256350.0,0
07/02/2020,3.6999999999999957,0.06967984934086621,53.4,56.8,53.1,56.8,55.79,272130.0,0
06/02/2020,2.5,0.04940711462450593,52.0,53.4,50.6,53.1,52.05,170980.0,0
05/02/2020,0.5,0.00998003992015968,50.5,52.0,50.5,50.6,50.93,148880.0,0
04/02/2020,-2.1000000000000014,-0.04022988505747129,52.2,53.3,50.0,50.1,51.49,254790.0,0
03/02/2020,-3.5,-0.06283662477558348,55.9,55.9,52.0,52.2,53.59,304180.0,0
31/01/2020,2.8000000000000043,0.05293005671077513,53.0,56.6,53.0,55.7,55.23,299400.0,0
30/01/2020,-0.5,-0.009363295880149813,52.8,54.7,52.8,52.9,53.28,130320.0,0
22/01/2020,0.3999999999999986,0.007547169811320728,52.0,55.2,52.0,53.4,52.97,147520.0,0
21/01/2020,-0.5,-0.009345794392523364,53.5,54.0,52.3,53.0,53.17,123630.0,0
20/01/2020,0.7999999999999972,0.015180265654648901,53.0,55.5,53.0,53.5,53.78,108300.0,0
17/01/2020,3.4000000000000057,0.06896551724137943,48.9,52.7,48.9,52.7,51.91,251890.0,0
16/01/2020,-0.15000000000000568,-0.003033367037411641,49.45,49.8,48.7,49.3,49.15,45110.0,0
15/01/2020,0.0,-0.0,49.5,49.9,49.3,49.45,49.57,58970.0,0
15/01/2020,-0.14999999999999858,-0.003024193548387068,49.5,49.9,49.3,49.45,49.57,58970.0,0
14/01/2020,-0.10000000000000142,-0.0020120724346076742,49.4,50.5,49.4,49.6,49.94,69340.0,0
13/01/2020,0.15000000000000568,0.0030272452068618705,49.55,50.8,49.55,49.7,50.13,61630.0,0
10/01/2020,-0.6500000000000057,-0.012948207171314851,50.1,50.2,47.75,49.55,48.85,285310.0,0
09/01/2020,-0.19999999999999574,-0.003968253968253884,50.4,51.7,50.2,50.2,50.53,70230.0,0
08/01/2020,-1.1000000000000014,-0.0213592233009709,51.1,51.4,50.3,50.4,50.77,104260.0,0
07/01/2020,-1.1000000000000014,-0.020912547528517136,52.8,52.8,51.0,51.5,51.77,77310.0,0
06/01/2020,-0.6999999999999957,-0.013133208255159396,53.0,53.1,52.1,52.6,52.7,28890.0,0
03/01/2020,0.5,0.00946969696969697,53.6,54.8,53.3,53.3,53.91,135390.0,0
02/01/2020,0.0,-0.0,51.3,54.2,51.3,52.8,52.77,123270.0,0
