date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,0.9499999999999993,0.037254901960784285,26.2,26.95,25.95,26.45,26.45,9514110.0,68000.0
02/03/2020,-0.25,-0.009708737864077669,25.95,26.05,25.4,25.5,25.69,4873970.0,20000.0
28/02/2020,-0.4499999999999993,-0.017175572519083943,25.5,26.05,25.0,25.75,25.47,7892390.0,103000.0
27/02/2020,0.3999999999999986,0.01550387596899219,25.75,26.2,25.6,26.2,25.92,5524580.0,568000.0
26/02/2020,-0.3000000000000007,-0.011494252873563244,25.55,26.2,25.4,25.8,25.86,6229210.0,246520.0
25/02/2020,1.7000000000000028,0.0696721311475411,24.4,26.1,24.35,26.1,25.09,9764100.0,0
24/02/2020,-1.4500000000000028,-0.056092843326885994,25.1,25.4,24.35,24.4,24.84,12317180.0,400000.0
21/02/2020,-1.0499999999999972,-0.03903345724907053,26.8,26.9,25.65,25.85,26.27,12049570.0,25000.0
20/02/2020,-0.10000000000000142,-0.0037037037037037563,27.35,27.7,26.65,26.9,27.14,9011120.0,0
19/02/2020,0.3000000000000007,0.011235955056179803,26.8,27.2,26.8,27.0,27.0,5895360.0,910000.0
18/02/2020,0.14999999999999858,0.005649717514124239,26.7,27.25,26.6,26.7,26.92,7231540.0,20000.0
17/02/2020,-0.25,-0.009328358208955223,26.9,27.05,26.4,26.55,26.72,5818090.0,0
14/02/2020,-0.4499999999999993,-0.01651376146788988,27.35,27.35,26.7,26.8,26.95,6108570.0,60000.0
13/02/2020,0.05000000000000071,0.0018382352941176733,27.35,27.6,26.5,27.25,27.07,9485770.0,20000.0
12/02/2020,-0.5500000000000007,-0.019819819819819846,28.45,28.45,27.2,27.2,28.04,10390830.0,54900.0
11/02/2020,1.1499999999999986,0.043233082706766866,26.9,27.75,26.85,27.75,27.16,6762320.0,290000.0
10/02/2020,-0.29999999999999716,-0.011152416356877219,26.25,27.3,26.2,26.6,26.82,6287560.0,0
07/02/2020,-0.8500000000000014,-0.030630630630630682,27.5,27.65,26.65,26.9,27.15,8960350.0,0
06/02/2020,1.1999999999999993,0.04519774011299432,26.7,28.1,26.35,27.75,27.3,10566600.0,0
05/02/2020,-0.34999999999999787,-0.0130111524163568,27.4,27.8,26.55,26.55,27.24,11732260.0,70000.0
04/02/2020,1.75,0.06958250497017893,25.4,26.9,25.35,26.9,26.22,14852770.0,23000.0
03/02/2020,0.75,0.03073770491803279,23.5,25.2,23.25,25.15,24.54,13869450.0,150000.0
31/01/2020,0.04999999999999716,0.002053388090348959,24.6,25.25,24.4,24.4,24.81,11815850.0,370000.0
30/01/2020,-1.25,-0.048828125,24.9,25.35,24.0,24.35,24.73,11319200.0,233000.0
22/01/2020,0.3000000000000007,0.01185770750988145,25.3,25.75,25.05,25.6,25.56,4747210.0,0
21/01/2020,0.1999999999999993,0.007968127490039813,25.2,25.8,25.1,25.3,25.42,6063350.0,170000.0
20/01/2020,0.15000000000000213,0.006012024048096278,24.9,25.3,24.75,25.1,25.03,4737420.0,20000.0
17/01/2020,0.05000000000000071,0.0020080321285140847,25.2,25.4,24.6,24.95,24.99,6412750.0,1310000.0
16/01/2020,1.2999999999999972,0.05508474576271174,23.7,24.95,23.65,24.9,24.54,8002680.0,70000.0
15/01/2020,0.0,-0.0,23.5,23.7,23.25,23.6,23.51,4364850.0,20000.0
15/01/2020,0.10000000000000142,0.004255319148936231,23.5,23.7,23.25,23.6,23.51,4364850.0,20000.0
14/01/2020,0.3000000000000007,0.012931034482758652,23.25,23.8,23.2,23.5,23.51,7040780.0,14211914.0
13/01/2020,-0.3500000000000014,-0.014861995753715558,23.3,24.0,23.2,23.2,23.52,5317470.0,30000.0
10/01/2020,1.1000000000000014,0.048997772828507855,22.5,24.0,22.5,23.55,23.18,14701830.0,543000.0
09/01/2020,0.8000000000000007,0.036951501154734445,21.85,22.6,21.85,22.45,22.25,8592300.0,800000.0
08/01/2020,-0.05000000000000071,-0.002304147465437821,21.55,22.15,21.3,21.65,21.81,9864300.0,55711914.0
07/01/2020,0.34999999999999787,0.01639344262295072,21.6,21.85,21.45,21.7,21.67,4163600.0,93000.0
06/01/2020,0.05000000000000071,0.0023474178403756203,21.2,21.7,21.1,21.35,21.4,3173480.0,0
03/01/2020,-0.1999999999999993,-0.009302325581395316,21.75,21.85,21.25,21.3,21.52,3626640.0,0
02/01/2020,0.0,-0.0,20.9,21.75,20.85,21.5,21.41,4347610.0,0
