date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,1.0,0.012658227848101267,82.9,82.9,80.0,80.0,81.29,270460.0,100000.0
02/03/2020,3.200000000000003,0.04221635883905018,75.6,79.5,75.4,79.0,77.73,255710.0,0
28/02/2020,-3.200000000000003,-0.040506329113924086,75.1,77.9,75.1,75.8,75.71,449640.0,224000.0
27/02/2020,-0.9000000000000057,-0.011264080100125227,79.8,79.9,78.1,79.0,78.83,359090.0,0
26/02/2020,-3.0999999999999943,-0.03734939759036138,82.5,82.5,79.6,79.9,80.41,478410.0,0
25/02/2020,-0.9000000000000057,-0.01072705601907039,82.5,83.9,82.5,83.0,83.08,348890.0,244000.0
24/02/2020,-1.5,-0.01756440281030445,85.0,85.0,83.5,83.9,84.28,348150.0,0
21/02/2020,0.10000000000000853,0.001172332942555786,86.0,86.2,85.4,85.4,85.65,171440.0,0
20/02/2020,0.0,-0.0,88.0,88.0,85.2,85.3,85.92,198200.0,0
19/02/2020,-0.7000000000000028,-0.008139534883720963,86.0,86.1,85.3,85.3,85.77,166790.0,0
18/02/2020,-1.2999999999999972,-0.014891179839633416,87.0,87.4,85.8,86.0,86.54,215600.0,0
17/02/2020,-1.2000000000000028,-0.013559322033898338,88.5,89.3,87.3,87.3,88.21,180040.0,0
14/02/2020,1.0,0.011428571428571429,87.5,88.9,87.0,88.5,88.08,162870.0,0
13/02/2020,1.5,0.01744186046511628,85.8,88.1,85.8,87.5,87.13,272240.0,0
12/02/2020,0.4000000000000057,0.004672897196261749,86.6,86.6,85.6,86.0,86.28,175490.0,0
11/02/2020,-1.2000000000000028,-0.013824884792626762,86.1,86.8,85.4,85.6,85.86,235700.0,200000.0
10/02/2020,0.7999999999999972,0.009302325581395316,85.0,86.9,84.0,86.8,85.73,282460.0,0
07/02/2020,0.09999999999999432,0.0011641443538998174,85.9,87.0,85.0,86.0,85.91,299430.0,0
06/02/2020,4.300000000000011,0.05269607843137269,81.6,85.9,81.6,85.9,83.58,253870.0,0
05/02/2020,-0.4000000000000057,-0.004878048780487874,83.0,84.0,80.6,81.6,82.25,290230.0,0
04/02/2020,-1.2000000000000028,-0.014423076923076957,84.9,85.0,82.0,82.0,83.64,376400.0,0
03/02/2020,-3.299999999999997,-0.03815028901734101,85.0,85.9,80.6,83.2,83.73,565980.0,254450.0
31/01/2020,-5.5,-0.059782608695652176,91.1,91.7,86.0,86.5,89.06,551680.0,0
30/01/2020,-2.9000000000000057,-0.03055848261327719,91.0,93.8,91.0,92.0,92.61,379940.0,0
22/01/2020,0.0,-0.0,94.9,95.4,94.3,94.9,94.8,162790.0,0
21/01/2020,1.5,0.016059957173447537,93.4,94.9,93.4,94.9,94.28,180960.0,0
20/01/2020,0.20000000000000284,0.0021459227467811462,93.2,93.6,92.9,93.4,93.21,134180.0,40000.0
17/01/2020,-0.09999999999999432,-0.0010718113612003678,93.3,94.2,92.7,93.2,93.27,281760.0,0
16/01/2020,-0.7000000000000028,-0.007446808510638328,94.0,94.3,93.0,93.3,93.46,508390.0,0
15/01/2020,0.0,-0.0,95.0,95.0,93.1,94.0,94.1,201400.0,0
15/01/2020,-0.9000000000000057,-0.009483667017913653,95.0,95.0,93.1,94.0,94.1,201400.0,0
14/01/2020,-0.3999999999999915,-0.004197271773347235,95.2,96.0,94.9,94.9,95.11,166850.0,717000.0
13/01/2020,-0.6000000000000085,-0.0062565172054224035,95.9,95.9,94.7,95.3,95.26,355190.0,0
10/01/2020,0.7000000000000028,0.007352941176470618,95.5,96.0,95.0,95.9,95.41,160820.0,0
09/01/2020,-1.7999999999999972,-0.018556701030927807,96.0,96.8,94.8,95.2,95.53,320980.0,43000.0
08/01/2020,-0.09999999999999432,-0.0010298661174046788,98.6,99.0,97.0,97.0,98.0,439260.0,0
07/01/2020,-0.7000000000000028,-0.007157464212678965,97.7,97.7,96.3,97.1,97.18,142800.0,0
06/01/2020,3.0,0.03164556962025317,96.7,98.0,96.2,97.8,97.44,431090.0,0
03/01/2020,0.20000000000000284,0.0021141649048626093,94.6,96.4,94.6,94.8,95.5,218980.0,0
02/01/2020,0.0,-0.0,93.7,95.2,93.7,94.6,94.54,141260.0,0
