date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-1.6999999999999993,-0.06938775510204079,24.15,24.15,22.8,22.8,22.87,2178450.0,0
11/03/2020,-1.3000000000000007,-0.05038759689922483,26.0,26.0,24.0,24.5,24.77,1355180.0,0
10/03/2020,-0.25,-0.009596928982725527,25.05,26.65,25.0,25.8,25.84,2498670.0,0
09/03/2020,-1.9499999999999993,-0.06964285714285712,26.8,26.85,26.05,26.05,26.28,1611800.0,0
06/03/2020,0.0,-0.0,27.9,28.0,27.5,28.0,27.67,720180.0,0
05/03/2020,-0.14999999999999858,-0.005328596802841868,28.25,28.65,27.75,28.0,28.33,1184690.0,0
04/03/2020,0.4499999999999993,0.016245487364620913,27.7,28.25,27.7,28.15,28.01,1566000.0,1460000.0
03/03/2020,0.0,-0.0,28.0,28.3,27.6,27.7,27.97,2539510.0,0
02/03/2020,-0.10000000000000142,-0.0035971223021583243,27.7,28.0,27.4,27.7,27.72,1320040.0,1525000.0
28/02/2020,-0.1999999999999993,-0.0071428571428571175,27.55,27.8,27.2,27.8,27.46,1033040.0,182000.0
27/02/2020,0.3000000000000007,0.010830324909747318,27.75,28.1,27.65,28.0,27.88,1243660.0,299000.0
26/02/2020,-0.3000000000000007,-0.01071428571428574,27.7,28.25,27.35,27.7,27.69,1200270.0,280000.0
25/02/2020,0.75,0.02752293577981652,27.0,28.05,26.95,28.0,27.58,1834510.0,2145000.0
24/02/2020,-1.1499999999999986,-0.040492957746478826,28.0,28.05,27.25,27.25,27.76,1366630.0,960000.0
21/02/2020,0.0,-0.0,28.35,28.7,28.2,28.4,28.5,1193560.0,0
20/02/2020,-0.10000000000000142,-0.0035087719298246113,28.55,28.65,28.3,28.4,28.45,1144200.0,0
19/02/2020,-0.14999999999999858,-0.005235602094240789,28.65,28.65,28.1,28.5,28.45,1704650.0,114000.0
18/02/2020,-0.10000000000000142,-0.0034782608695652665,28.7,29.0,28.65,28.65,28.78,1079920.0,0
17/02/2020,0.14999999999999858,0.005244755244755195,28.6,28.75,28.55,28.75,28.64,2070830.0,0
14/02/2020,-0.5999999999999979,-0.020547945205479378,29.25,29.55,28.6,28.6,29.06,2113640.0,75000.0
13/02/2020,0.0,-0.0,29.25,29.5,29.1,29.2,29.33,1237040.0,366000.0
12/02/2020,0.1999999999999993,0.006896551724137907,29.05,29.9,29.05,29.2,29.4,1790130.0,94000.0
11/02/2020,-0.5,-0.01694915254237288,29.4,29.6,28.85,29.0,29.11,2634890.0,526110.0
10/02/2020,-0.4499999999999993,-0.01502504173622702,29.85,29.9,29.15,29.5,29.46,1230340.0,0
07/02/2020,0.05000000000000071,0.001672240802675609,29.9,30.1,29.6,29.95,29.89,1757480.0,315000.0
06/02/2020,1.5,0.05281690140845071,28.45,30.0,28.35,29.9,29.32,3301040.0,0
05/02/2020,0.8499999999999979,0.030852994555353824,27.55,28.5,27.25,28.4,27.82,1330510.0,1000000.0
04/02/2020,0.5500000000000007,0.020370370370370393,27.05,27.7,26.85,27.55,27.33,1620490.0,0
03/02/2020,0.0,-0.0,26.65,27.45,25.55,27.0,26.37,1825080.0,0
31/01/2020,0.0,-0.0,27.85,27.9,26.0,27.0,26.95,1891250.0,0
31/01/2020,-0.9499999999999993,-0.033989266547406055,27.85,27.9,26.0,27.0,26.95,1891250.0,0
30/01/2020,-1.0500000000000007,-0.03620689655172416,28.7,28.7,27.95,27.95,28.3,1695770.0,0
22/01/2020,0.05000000000000071,0.001727115716753047,28.95,29.05,28.5,29.0,28.81,2241630.0,0
21/01/2020,0.6999999999999993,0.024778761061946878,28.25,29.1,28.2,28.95,28.7,1656380.0,0
20/01/2020,-0.3000000000000007,-0.010507880910683037,28.55,28.55,28.1,28.25,28.24,939700.0,0
17/01/2020,-0.09999999999999787,-0.003490401396160485,28.7,28.95,28.55,28.55,28.72,2061530.0,109452.0
16/01/2020,0.8999999999999986,0.03243243243243238,27.75,28.7,27.7,28.65,28.45,2717120.0,1188000.0
15/01/2020,-0.25,-0.008928571428571428,28.0,28.05,27.65,27.75,27.79,712440.0,0
14/01/2020,0.10000000000000142,0.0035842293906810548,27.7,28.15,27.6,28.0,27.92,813000.0,0
13/01/2020,-0.20000000000000284,-0.00711743772242003,28.1,28.15,27.65,27.9,27.79,866380.0,0
10/01/2020,0.6000000000000014,0.02181818181818187,27.55,28.4,27.55,28.1,28.03,1917360.0,2100000.0
09/01/2020,0.8000000000000007,0.02996254681647943,26.7,27.6,26.65,27.5,27.14,2024450.0,2200000.0
08/01/2020,0.0,-0.0,26.6,26.9,26.15,26.7,26.45,1954710.0,2400000.0
07/01/2020,-0.3000000000000007,-0.011111111111111138,27.0,27.0,26.6,26.7,26.76,865630.0,1700000.0
06/01/2020,-0.5500000000000007,-0.019963702359346667,27.5,27.5,26.8,27.0,27.08,1309500.0,2000000.0
03/01/2020,-0.25,-0.008992805755395683,27.75,27.75,27.4,27.55,27.53,1305640.0,0
02/01/2020,0.0,-0.0,27.5,27.8,27.15,27.8,27.4,2142970.0,140000.0
02/01/2020,0.0,-0.0,27.5,27.8,27.15,27.8,27.4,2142970.0,140000.0
