date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-1.3000000000000007,-0.06326034063260344,19.55,19.8,19.15,19.25,19.26,13041040.0,2106289.0
11/03/2020,-1.0999999999999979,-0.05080831408775972,21.7,21.8,20.15,20.55,20.87,8527920.0,675000.0
10/03/2020,0.7999999999999972,0.038369304556354775,20.5,21.75,20.5,21.65,21.29,8137980.0,0
09/03/2020,-1.5499999999999972,-0.06919642857142845,20.85,21.55,20.85,20.85,21.08,16567350.0,564200.0
06/03/2020,0.04999999999999716,0.0022371364653242577,22.35,22.45,22.25,22.4,22.35,3035470.0,235000.0
05/03/2020,0.0,-0.0,22.6,22.65,22.35,22.35,22.47,2594810.0,0
04/03/2020,0.05000000000000071,0.0022421524663677446,22.4,22.6,22.35,22.35,22.45,2946050.0,0
03/03/2020,0.0,-0.0,22.8,22.8,22.3,22.3,22.43,4411940.0,0
02/03/2020,-0.05000000000000071,-0.0022371364653244164,22.2,22.5,22.2,22.3,22.32,3957540.0,396330.0
28/02/2020,-0.5999999999999979,-0.02614379084967311,22.55,22.8,22.25,22.35,22.44,6583970.0,218000.0
27/02/2020,0.1999999999999993,0.00879120879120876,22.7,23.05,22.7,22.95,22.94,3318240.0,1117680.0
26/02/2020,-0.3500000000000014,-0.015151515151515214,22.75,23.0,22.7,22.75,22.81,4502880.0,0
25/02/2020,0.40000000000000213,0.017621145374449435,22.6,23.1,22.6,23.1,22.88,5303830.0,218000.0
24/02/2020,-0.8500000000000014,-0.036093418259023416,22.75,23.15,22.7,22.7,22.89,12938030.0,303424.0
21/02/2020,-0.1999999999999993,-0.008421052631578918,23.75,23.8,23.5,23.55,23.63,4513960.0,120000.0
20/02/2020,0.5,0.021505376344086023,23.45,23.75,23.25,23.75,23.47,5225250.0,200000.0
19/02/2020,-0.05000000000000071,-0.0021459227467811462,23.3,23.45,23.1,23.25,23.26,5481650.0,2515000.0
18/02/2020,-0.4499999999999993,-0.0189473684210526,23.85,23.85,23.3,23.3,23.5,7456030.0,100000.0
17/02/2020,0.05000000000000071,0.002109704641350241,23.7,23.85,23.6,23.75,23.74,2716840.0,27000.0
14/02/2020,0.0,-0.0,23.6,23.75,23.35,23.7,23.61,5052290.0,2650000.0
13/02/2020,-0.10000000000000142,-0.004201680672268967,23.75,23.9,23.6,23.7,23.72,5263180.0,1223670.0
12/02/2020,0.1999999999999993,0.00847457627118641,23.5,24.15,23.45,23.8,23.82,9581940.0,270560.0
11/02/2020,-0.75,-0.030800821355236138,24.45,24.6,23.45,23.6,23.97,12551620.0,100000.0
10/02/2020,0.0,-0.0,24.0,24.65,23.95,24.35,24.36,4794830.0,985100.0
07/02/2020,-0.8499999999999979,-0.033730158730158645,25.2,25.3,24.2,24.35,24.7,8120240.0,25600.0
06/02/2020,0.75,0.03067484662576687,24.35,25.2,24.3,25.2,24.91,9214150.0,218100.0
05/02/2020,-0.15000000000000213,-0.006097560975609842,24.85,25.0,24.2,24.45,24.6,6938550.0,1010000.0
04/02/2020,0.05000000000000071,0.002036659877800436,24.65,24.8,24.1,24.6,24.59,8086090.0,3586500.0
03/02/2020,0.4499999999999993,0.01867219917012445,23.3,24.8,22.7,24.55,23.6,12079180.0,500000.0
31/01/2020,0.0,-0.0,25.0,25.3,24.1,24.1,24.81,10994970.0,226500.0
31/01/2020,-1.1999999999999993,-0.04743083003952566,25.0,25.3,24.1,24.1,24.81,10994970.0,226500.0
30/01/2020,-1.0,-0.03802281368821293,25.55,25.9,24.95,25.3,25.43,13028790.0,525700.0
22/01/2020,0.4499999999999993,0.017408123791102487,25.85,26.4,25.85,26.3,26.16,8919900.0,740000.0
21/01/2020,0.3500000000000014,0.013725490196078487,25.75,26.0,25.55,25.85,25.79,5911660.0,473620.0
20/01/2020,0.5,0.02,25.0,25.5,24.7,25.5,25.08,5711790.0,546800.0
17/01/2020,-0.3000000000000007,-0.01185770750988145,25.3,25.65,24.9,25.0,25.28,6329150.0,450000.0
16/01/2020,0.15000000000000213,0.005964214711729707,25.0,25.35,24.95,25.3,25.14,6855030.0,1142000.0
15/01/2020,0.14999999999999858,0.005999999999999943,25.05,25.35,24.9,25.15,25.18,5881520.0,770000.0
14/01/2020,0.75,0.030927835051546393,24.25,25.05,24.2,25.0,24.74,9565300.0,348000.0
13/01/2020,0.05000000000000071,0.0020661157024793684,24.2,24.4,24.1,24.25,24.25,4456520.0,1297000.0
10/01/2020,0.1999999999999993,0.008333333333333304,24.1,24.55,24.05,24.2,24.37,10006180.0,640890.0
09/01/2020,0.5500000000000007,0.023454157782516024,23.6,24.15,23.6,24.0,23.89,4613440.0,110000.0
08/01/2020,-0.25,-0.010548523206751054,23.5,23.65,23.15,23.45,23.44,6421130.0,160000.0
07/01/2020,-0.3000000000000007,-0.012500000000000032,24.1,24.2,23.6,23.7,23.86,4871220.0,500000.0
06/01/2020,-0.14999999999999858,-0.006211180124223544,24.0,24.25,23.85,24.0,24.03,5371060.0,0
03/01/2020,0.14999999999999858,0.00624999999999994,24.2,24.35,24.05,24.15,24.18,7832210.0,0
02/01/2020,0.0,-0.0,23.5,24.0,23.35,24.0,23.77,4232230.0,0
02/01/2020,0.0,-0.0,23.5,24.0,23.35,24.0,23.77,4232230.0,0
