date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,0.0,-0.0,47.2,49.95,46.5,49.95,47.38,4072710.0,200000.0
11/03/2020,-2.4499999999999957,-0.04675572519083961,53.3,53.3,49.2,49.95,50.86,2637580.0,5715700.0
10/03/2020,0.3999999999999986,0.007692307692307665,52.9,53.8,52.0,52.4,52.96,2386840.0,463480.0
09/03/2020,-2.3999999999999986,-0.044117647058823505,53.0,56.8,51.0,52.0,53.83,4205130.0,2188000.0
06/03/2020,3.5,0.068762278978389,50.8,54.4,50.1,54.4,52.24,2794380.0,0
05/03/2020,1.8999999999999986,0.038775510204081605,49.45,52.0,49.15,50.9,50.71,1780900.0,80000.0
04/03/2020,0.0,-0.0,48.9,49.35,48.65,49.0,49.04,909830.0,516450.0
03/03/2020,0.0,-0.0,49.2,49.8,48.5,49.0,49.22,1225730.0,0
02/03/2020,0.0,-0.0,48.35,49.0,47.85,49.0,48.31,1588150.0,80000.0
28/02/2020,-0.7000000000000028,-0.014084507042253579,49.7,49.7,47.7,49.0,48.53,2255610.0,0
27/02/2020,-0.04999999999999716,-0.0010050251256280836,49.2,49.8,48.8,49.7,49.22,1642080.0,0
26/02/2020,-0.8500000000000014,-0.016798418972332044,49.8,50.3,49.0,49.75,49.68,1252450.0,0
25/02/2020,-0.5,-0.009784735812133072,50.5,51.3,49.8,50.6,50.57,896710.0,0
24/02/2020,-1.8999999999999986,-0.035849056603773556,51.6,52.5,51.0,51.1,51.63,1429040.0,0
21/02/2020,1.8999999999999986,0.037181996086105645,51.5,54.0,51.5,53.0,53.18,2061050.0,100000.0
20/02/2020,0.7000000000000028,0.013888888888888945,50.9,51.4,50.4,51.1,50.87,1365480.0,0
19/02/2020,0.6999999999999957,0.014084507042253436,49.6,51.7,49.6,50.4,50.98,1818680.0,0
18/02/2020,0.0,-0.0,49.2,49.7,49.2,49.7,49.54,591220.0,40000.0
17/02/2020,-0.09999999999999432,-0.002008032128513942,49.8,49.8,48.95,49.7,49.42,1492320.0,0
14/02/2020,-0.4000000000000057,-0.007968127490039953,50.2,50.2,49.45,49.8,49.75,1120310.0,0
13/02/2020,-0.29999999999999716,-0.005940594059405885,50.7,50.9,50.1,50.2,50.37,547970.0,0
12/02/2020,0.6000000000000014,0.012024048096192414,50.0,50.7,50.0,50.5,50.46,804720.0,0
11/02/2020,0.0,-0.0,49.2,51.7,49.2,49.9,50.51,2081860.0,50000.0
10/02/2020,0.0,-0.0,49.9,49.9,48.8,49.9,49.55,600280.0,20000.0
07/02/2020,0.0,-0.0,49.8,49.9,48.8,49.9,49.46,932290.0,300000.0
06/02/2020,-0.10000000000000142,-0.0020000000000000282,49.95,49.95,47.5,49.9,48.9,2389970.0,380000.0
05/02/2020,0.0,-0.0,50.5,50.5,49.2,50.0,49.75,750710.0,835480.0
04/02/2020,0.0,-0.0,50.1,51.0,49.5,50.0,50.13,744900.0,1135000.0
03/02/2020,-0.10000000000000142,-0.0019960079840319646,46.7,50.0,46.6,50.0,47.56,1290570.0,1164420.0
31/01/2020,0.0,-0.0,50.0,51.7,50.0,50.1,50.72,791350.0,0
31/01/2020,0.0,-0.0,50.0,51.7,50.0,50.1,50.72,791350.0,0
30/01/2020,-3.299999999999997,-0.061797752808988714,53.0,53.0,50.0,50.1,50.78,1591110.0,590000.0
22/01/2020,-1.1000000000000014,-0.020183486238532135,54.2,54.6,53.3,53.4,53.8,540210.0,20000.0
21/01/2020,0.20000000000000284,0.0036832412523020784,54.3,54.9,54.1,54.5,54.32,369330.0,0
20/01/2020,-0.7000000000000028,-0.01272727272727278,55.0,55.1,53.0,54.3,54.27,541490.0,535000.0
17/01/2020,-1.2000000000000028,-0.02135231316725984,56.1,56.4,55.0,55.0,55.72,496940.0,170000.0
16/01/2020,-0.29999999999999716,-0.005309734513274286,56.5,56.9,56.2,56.2,56.37,290210.0,1528000.0
15/01/2020,-0.10000000000000142,-0.001766784452296845,57.0,57.0,56.0,56.5,56.3,373290.0,1618000.0
14/01/2020,-0.3999999999999986,-0.007017543859649098,57.0,57.3,56.6,56.6,56.95,349410.0,0
13/01/2020,0.5,0.008849557522123894,56.6,57.1,56.4,57.0,56.8,413810.0,25000.0
10/01/2020,-0.5,-0.008771929824561403,57.0,57.7,56.5,56.5,57.12,524930.0,1000000.0
09/01/2020,1.0,0.017857142857142856,56.6,57.2,56.5,57.0,56.97,505680.0,22000.0
08/01/2020,-0.7999999999999972,-0.014084507042253471,56.2,56.5,55.6,56.0,56.0,737690.0,120000.0
07/01/2020,0.19999999999999574,0.003533568904593564,56.8,57.3,56.7,56.8,56.97,319680.0,500000.0
06/01/2020,-0.8999999999999986,-0.015652173913043455,57.5,57.5,56.6,56.6,57.04,582020.0,0
03/01/2020,0.5,0.008771929824561403,57.2,57.7,56.8,57.5,57.38,777690.0,0
02/01/2020,0.0,-0.0,56.9,57.4,56.3,57.0,56.88,518870.0,0
02/01/2020,0.0,-0.0,56.9,57.4,56.3,57.0,56.88,518870.0,0
