date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-0.20000000000000284,-0.0037735849056604307,53.0,53.0,51.6,52.8,52.23,425390.0,879000.0
11/03/2020,0.0,-0.0,53.0,53.1,51.8,53.0,52.48,777760.0,8160000.0
10/03/2020,0.0,-0.0,52.0,53.4,52.0,53.0,52.61,692090.0,525000.0
09/03/2020,-1.0,-0.018518518518518517,53.0,54.0,51.7,53.0,52.73,612380.0,620000.0
06/03/2020,0.10000000000000142,0.0018552875695733103,53.5,54.0,53.0,54.0,53.61,581020.0,1225040.0
05/03/2020,0.10000000000000142,0.0018587360594795805,53.8,54.5,53.2,53.9,53.8,639330.0,1020000.0
04/03/2020,0.09999999999999432,0.0018621973929235439,53.7,54.4,53.0,53.8,53.69,586250.0,770000.0
03/03/2020,0.10000000000000142,0.0018656716417910712,53.3,54.1,53.3,53.7,53.77,721830.0,431000.0
02/03/2020,0.10000000000000142,0.0018691588785046994,53.3,53.7,53.1,53.6,53.47,524050.0,737600.0
28/02/2020,-0.3999999999999986,-0.0074211502782931095,53.3,53.6,52.8,53.5,53.08,858160.0,545000.0
27/02/2020,0.10000000000000142,0.0018587360594795805,53.8,53.9,53.1,53.9,53.48,316500.0,450000.0
26/02/2020,0.09999999999999432,0.0018621973929235439,53.6,53.8,53.3,53.8,53.59,376460.0,205000.0
25/02/2020,0.10000000000000142,0.0018656716417910712,53.5,53.7,53.0,53.7,53.18,579540.0,902190.0
24/02/2020,-0.3999999999999986,-0.00740740740740738,54.0,54.0,53.2,53.6,53.46,338570.0,900000.0
21/02/2020,-0.5,-0.009174311926605505,54.5,54.5,53.7,54.0,54.01,250410.0,335000.0
20/02/2020,0.3999999999999986,0.0073937153419593084,54.2,55.0,54.1,54.5,54.42,429000.0,455000.0
19/02/2020,0.10000000000000142,0.0018518518518518782,54.1,54.1,53.0,54.1,53.56,767180.0,480000.0
18/02/2020,-0.29999999999999716,-0.005524861878452986,54.3,54.4,53.1,54.0,53.5,780110.0,840000.0
17/02/2020,0.09999999999999432,0.0018450184501843968,54.0,54.3,53.2,54.3,53.66,502660.0,510000.0
14/02/2020,-0.29999999999999716,-0.005504587155963251,54.3,54.4,53.3,54.2,53.69,592440.0,756661.0
13/02/2020,0.10000000000000142,0.0018382352941176733,54.3,54.5,53.4,54.5,53.86,455910.0,802000.0
12/02/2020,0.19999999999999574,0.0036900369003689247,54.3,54.6,53.2,54.4,54.06,481440.0,445000.0
11/02/2020,0.10000000000000142,0.0018484288354898599,54.2,55.0,53.0,54.2,54.42,422890.0,765000.0
10/02/2020,0.0,-0.0,54.2,54.2,53.2,54.1,53.6,335600.0,579930.0
07/02/2020,1.1000000000000014,0.020754716981132102,53.5,54.5,53.0,54.1,53.81,367780.0,983240.0
06/02/2020,-1.0,-0.018518518518518517,53.5,54.8,52.8,53.0,53.07,1352200.0,860000.0
05/02/2020,-1.0,-0.01818181818181818,55.0,56.2,53.7,54.0,54.4,529660.0,410000.0
04/02/2020,-1.0,-0.017857142857142856,55.8,56.3,54.3,55.0,55.33,573950.0,655000.0
03/02/2020,0.8999999999999986,0.016333938294010864,55.0,56.3,54.5,56.0,55.04,587350.0,0
31/01/2020,0.0,-0.0,54.9,55.5,54.0,55.1,54.87,734180.0,370000.0
31/01/2020,0.0,-0.0,54.9,55.5,54.0,55.1,54.87,734180.0,370000.0
30/01/2020,-0.8999999999999986,-0.016071428571428546,55.5,56.0,54.1,55.1,54.92,413700.0,330000.0
22/01/2020,0.0,-0.0,55.8,56.0,55.5,56.0,55.89,292410.0,800000.0
21/01/2020,0.0,-0.0,55.8,56.2,54.9,56.0,55.49,468120.0,855000.0
20/01/2020,0.0,-0.0,55.9,56.1,55.5,56.0,55.94,282740.0,910000.0
17/01/2020,0.0,-0.0,55.5,56.2,55.1,56.0,55.66,271200.0,855000.0
16/01/2020,1.0,0.01818181818181818,55.0,56.0,55.0,56.0,55.48,336550.0,945000.0
15/01/2020,-0.3999999999999986,-0.007220216606498169,55.0,55.5,54.5,55.0,54.85,212400.0,930000.0
14/01/2020,0.3999999999999986,0.007272727272727247,54.7,55.6,54.7,55.4,55.36,226900.0,10029000.0
13/01/2020,-0.7999999999999972,-0.014336917562723962,55.4,55.9,54.7,55.0,55.1,342540.0,470000.0
10/01/2020,0.19999999999999574,0.003597122302158197,55.4,56.0,55.4,55.8,55.7,234100.0,415000.0
09/01/2020,1.6000000000000014,0.029629629629629655,55.5,55.6,54.0,55.6,55.42,257670.0,390000.0
08/01/2020,-2.299999999999997,-0.04085257548845466,55.5,55.8,53.9,54.0,54.7,440790.0,650000.0
07/01/2020,0.5,0.00896057347670251,55.4,56.4,55.4,56.3,56.03,311040.0,13905000.0
06/01/2020,-0.20000000000000284,-0.003571428571428622,55.7,56.0,55.4,55.8,55.67,269800.0,3190000.0
03/01/2020,-1.5,-0.026086956521739132,57.3,57.6,56.0,56.0,56.94,265990.0,440000.0
02/01/2020,0.0,-0.0,58.7,58.8,56.6,57.5,58.0,276470.0,750000.0
02/01/2020,0.0,-0.0,58.7,58.8,56.6,57.5,58.0,276470.0,750000.0
