date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-4.799999999999997,-0.06997084548104952,63.8,64.0,63.8,63.8,63.81,516330.0,50000.0
11/03/2020,-5.1000000000000085,-0.06919945725915887,74.5,74.5,68.6,68.6,70.08,1210390.0,350000.0
10/03/2020,-1.3999999999999915,-0.018641810918774853,71.0,75.3,71.0,73.7,73.01,653470.0,0
09/03/2020,-5.6000000000000085,-0.06939281288723678,75.2,78.0,75.1,75.1,75.59,1114330.0,131450.0
06/03/2020,-1.0,-0.012239902080783354,81.5,81.7,80.2,80.7,80.9,582160.0,88680.0
05/03/2020,-0.5,-0.00608272506082725,82.6,82.7,81.7,81.7,82.11,318450.0,0
04/03/2020,0.20000000000000284,0.002439024390243937,81.8,82.2,81.6,82.2,81.93,263230.0,877283.0
03/03/2020,0.4000000000000057,0.004901960784313796,82.6,82.6,81.6,82.0,81.97,390160.0,0
02/03/2020,-0.10000000000000853,-0.0012239902080784398,81.7,82.4,81.4,81.6,81.83,450120.0,65000.0
28/02/2020,-1.7999999999999972,-0.021556886227544876,82.0,82.5,81.6,81.7,81.92,455890.0,0
27/02/2020,0.5,0.006024096385542169,83.0,83.6,82.8,83.5,83.26,355500.0,100000.0
26/02/2020,0.0,-0.0,82.0,83.8,81.8,83.0,83.0,602240.0,130000.0
25/02/2020,1.7999999999999972,0.022167487684729027,81.0,83.0,81.0,83.0,81.85,775410.0,0
24/02/2020,-2.5999999999999943,-0.03102625298329349,82.1,82.7,81.2,81.2,81.92,1114770.0,285430.0
21/02/2020,-1.5,-0.017584994138335287,85.2,85.5,83.5,83.8,84.42,682030.0,0
20/02/2020,-0.20000000000000284,-0.002339181286549741,86.4,86.4,84.7,85.3,85.43,439930.0,0
19/02/2020,1.7999999999999972,0.02150537634408599,83.7,85.5,83.7,85.5,84.79,692450.0,0
18/02/2020,1.2999999999999972,0.01577669902912618,82.6,84.3,82.4,83.7,83.61,659890.0,0
17/02/2020,-0.29999999999999716,-0.0036275695284159267,82.5,83.0,82.2,82.4,82.48,343220.0,0
14/02/2020,0.20000000000000284,0.0024242424242424585,82.5,82.8,82.2,82.7,82.52,297190.0,0
13/02/2020,0.0,-0.0,82.5,83.0,81.9,82.5,82.34,384700.0,0
12/02/2020,1.0,0.012269938650306749,82.2,83.9,81.7,82.5,82.74,622610.0,0
11/02/2020,0.0,-0.0,82.0,82.2,81.5,81.5,81.81,405250.0,0
10/02/2020,-1.0999999999999943,-0.01331719128329291,82.0,82.4,81.0,81.5,81.67,555450.0,35470.0
07/02/2020,-1.3000000000000114,-0.015494636471990599,84.0,84.0,82.3,82.6,83.01,753340.0,200000.0
06/02/2020,1.2000000000000028,0.014510278113663878,82.7,84.0,82.6,83.9,83.53,586840.0,300000.0
05/02/2020,-1.2999999999999972,-0.015476190476190442,84.3,84.9,82.6,82.7,83.36,648860.0,0
04/02/2020,1.2000000000000028,0.01449275362318844,83.0,84.4,82.5,84.0,83.32,812530.0,0
03/02/2020,-1.5,-0.017793594306049824,80.0,84.0,79.6,82.8,81.04,1433110.0,20000.0
31/01/2020,0.0,-0.0,87.0,88.3,84.0,84.3,85.63,2087700.0,250000.0
31/01/2020,-3.4000000000000057,-0.03876852907639687,87.0,88.3,84.0,84.3,85.63,2087700.0,250000.0
30/01/2020,-3.5999999999999943,-0.039430449069003226,90.6,90.8,85.2,87.7,89.03,1298290.0,0
22/01/2020,0.29999999999999716,0.0032967032967032655,91.0,91.9,90.4,91.3,91.05,702790.0,93600.0
21/01/2020,-1.0,-0.010869565217391304,92.4,92.5,91.0,91.0,91.53,622420.0,100000.0
20/01/2020,1.2999999999999972,0.014332965821389163,91.0,92.4,91.0,92.0,91.69,818960.0,0
17/01/2020,0.7999999999999972,0.008898776418242459,90.0,90.9,89.7,90.7,90.27,738240.0,0
16/01/2020,-0.09999999999999432,-0.001111111111111048,90.3,90.6,89.6,89.9,90.09,629290.0,0
15/01/2020,1.0999999999999943,0.012373453318335144,88.6,90.6,88.5,90.0,89.93,1175740.0,0
14/01/2020,-0.09999999999999432,-0.0011235955056179137,88.9,89.0,88.4,88.9,88.72,435560.0,50000.0
13/01/2020,0.5,0.005649717514124294,88.4,89.4,88.1,89.0,88.8,711990.0,179373.0
10/01/2020,2.299999999999997,0.02668213457076563,86.5,88.7,86.5,88.5,88.0,1665860.0,0
09/01/2020,1.1000000000000085,0.01292596944770868,86.1,87.1,85.6,86.2,86.44,563340.0,879590.0
08/01/2020,-1.8000000000000114,-0.020713463751438566,87.0,87.1,84.1,85.1,85.54,948880.0,140000.0
07/01/2020,1.1000000000000085,0.01282051282051292,86.0,87.0,85.0,86.9,86.09,576310.0,328863.0
06/01/2020,-1.0,-0.01152073732718894,86.7,87.8,85.8,85.8,87.03,692370.0,76000.0
03/01/2020,-0.6000000000000085,-0.0068649885583524995,87.9,88.2,86.1,86.8,87.34,659870.0,0
02/01/2020,0.0,-0.0,86.5,87.6,86.0,87.4,86.91,651790.0,0
02/01/2020,0.0,-0.0,86.5,87.6,86.0,87.4,86.91,651790.0,0
