date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-0.629999999999999,-0.06984478935698438,8.5,8.65,8.39,8.39,8.42,5361200.0,0
11/03/2020,-0.4800000000000004,-0.05052631578947373,9.57,9.65,8.97,9.02,9.22,5177740.0,0
10/03/2020,0.09999999999999964,0.010638297872340387,9.2,9.59,9.0,9.5,9.32,2871290.0,0
09/03/2020,-0.6999999999999993,-0.06930693069306924,9.4,9.8,9.4,9.4,9.45,4943410.0,0
06/03/2020,-0.09999999999999964,-0.009803921568627416,10.15,10.25,10.0,10.1,10.09,2292720.0,0
05/03/2020,0.23999999999999844,0.024096385542168516,10.15,10.4,10.1,10.2,10.25,3579000.0,0
04/03/2020,0.030000000000001137,0.0030211480362538914,9.95,10.1,9.9,9.96,9.96,2680650.0,0
03/03/2020,-0.05000000000000071,-0.005010020040080231,10.2,10.25,9.93,9.93,10.09,2539230.0,0
02/03/2020,0.13000000000000078,0.013197969543147288,9.85,9.99,9.78,9.98,9.86,1786920.0,0
28/02/2020,-0.25,-0.024752475247524754,9.9,9.98,9.75,9.85,9.85,2284820.0,0
27/02/2020,-0.09999999999999964,-0.009803921568627416,10.2,10.35,10.0,10.1,10.12,1045640.0,0
26/02/2020,0.25,0.02512562814070352,9.7,10.4,9.7,10.2,10.01,2278130.0,0
25/02/2020,-0.05000000000000071,-0.005000000000000071,9.62,9.98,9.62,9.95,9.83,3369430.0,0
24/02/2020,-0.75,-0.06976744186046512,10.4,10.45,10.0,10.0,10.18,3312940.0,0
21/02/2020,-0.15000000000000036,-0.01376146788990829,10.9,10.95,10.65,10.75,10.83,1762570.0,0
20/02/2020,0.45000000000000107,0.043062200956937906,10.5,10.95,10.5,10.9,10.74,4728350.0,70000.0
19/02/2020,0.09999999999999964,0.009661835748792237,10.4,10.6,10.35,10.45,10.49,1982300.0,0
18/02/2020,0.0,-0.0,10.4,10.45,10.3,10.35,10.37,1786200.0,0
17/02/2020,-0.05000000000000071,-0.004807692307692376,10.35,10.45,10.25,10.35,10.35,2084770.0,70000.0
14/02/2020,-0.15000000000000036,-0.014218009478673016,10.55,10.55,10.3,10.4,10.44,1156570.0,0
13/02/2020,0.0,-0.0,10.7,10.95,10.35,10.55,10.63,3076810.0,0
12/02/2020,0.6900000000000013,0.0699797160243409,9.94,10.55,9.9,10.55,10.23,3050250.0,20000.0
11/02/2020,0.17999999999999972,0.018595041322314022,9.72,9.96,9.7,9.86,9.88,1775070.0,0
10/02/2020,-0.23000000000000043,-0.023208879919273503,9.7,9.8,9.65,9.68,9.69,1441160.0,0
07/02/2020,-0.14000000000000057,-0.013930348258706524,10.05,10.1,9.89,9.91,9.94,1520380.0,4170000.0
06/02/2020,0.4800000000000004,0.050156739811912265,9.6,10.05,9.56,10.05,9.86,2202420.0,0
05/02/2020,0.07000000000000028,0.00736842105263161,9.6,9.7,9.47,9.57,9.56,2301300.0,0
04/02/2020,-0.4900000000000002,-0.04904904904904907,10.1,10.2,9.5,9.5,9.8,3640180.0,950000.0
03/02/2020,-0.5099999999999998,-0.04857142857142855,9.9,10.2,9.77,9.99,9.87,3839880.0,0
31/01/2020,0.0,-0.0,11.1,11.2,10.5,10.5,10.82,2556250.0,70000.0
31/01/2020,-0.5999999999999996,-0.05405405405405403,11.1,11.2,10.5,10.5,10.82,2556250.0,70000.0
30/01/2020,0.0,-0.0,11.0,11.35,11.0,11.1,11.16,3263130.0,0
22/01/2020,0.1999999999999993,0.018348623853210944,11.0,11.15,10.95,11.1,11.05,1844340.0,2269100.0
21/01/2020,0.20000000000000107,0.018691588785046828,10.9,11.2,10.9,10.9,11.0,2980510.0,3400000.0
20/01/2020,-0.10000000000000142,-0.00925925925925939,10.8,10.9,10.65,10.7,10.76,1136080.0,0
17/01/2020,-0.1999999999999993,-0.01818181818181812,11.05,11.05,10.8,10.8,10.88,1629430.0,0
16/01/2020,0.09999999999999964,0.009174311926605472,11.0,11.05,10.9,11.0,10.97,1479520.0,500000.0
15/01/2020,0.0,-0.0,10.9,10.9,10.8,10.9,10.86,1119580.0,0
14/01/2020,-0.09999999999999964,-0.00909090909090906,11.1,11.1,10.9,10.9,10.98,1438620.0,0
13/01/2020,-0.09999999999999964,-0.009009009009008978,11.1,11.1,11.0,11.0,11.04,1298370.0,200000.0
10/01/2020,0.1999999999999993,0.018348623853210944,10.95,11.15,10.8,11.1,11.02,1461150.0,1499270.0
09/01/2020,0.15000000000000036,0.013953488372093058,10.85,11.1,10.8,10.9,10.96,2226540.0,1500530.0
08/01/2020,-0.5,-0.044444444444444446,11.2,11.2,10.5,10.75,10.78,5339280.0,0
07/01/2020,-0.09999999999999964,-0.00881057268722464,11.4,11.45,11.2,11.25,11.29,1893960.0,0
06/01/2020,-0.34999999999999964,-0.029914529914529885,11.65,11.7,11.35,11.35,11.48,2064670.0,0
03/01/2020,-0.20000000000000107,-0.01680672268907572,11.9,12.0,11.65,11.7,11.84,1245410.0,0
02/01/2020,0.0,-0.0,11.5,11.9,11.45,11.9,11.72,1569270.0,0
02/01/2020,0.0,-0.0,11.5,11.9,11.45,11.9,11.72,1569270.0,0
