date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-1.8500000000000014,-0.061976549413735385,28.6,29.0,27.85,28.0,28.28,1147630.0,37310.0
11/03/2020,-0.4499999999999993,-0.01485148514851483,30.3,30.75,29.3,29.85,29.82,1195030.0,193380.0
10/03/2020,0.40000000000000213,0.013377926421404755,29.55,30.45,29.0,30.3,29.92,601060.0,0
09/03/2020,-2.1000000000000014,-0.06562500000000004,30.5,31.3,29.8,29.9,30.34,2151310.0,0
06/03/2020,-0.20000000000000284,-0.0062111801242236905,32.1,32.4,31.65,32.0,31.93,536990.0,0
05/03/2020,-0.19999999999999574,-0.006172839506172708,32.85,32.85,32.2,32.2,32.48,436970.0,0
04/03/2020,0.0,-0.0,32.45,32.75,32.15,32.4,32.4,382980.0,0
03/03/2020,-0.05000000000000426,-0.0015408320493067568,32.8,32.85,32.4,32.4,32.57,523910.0,0
02/03/2020,-1.6499999999999986,-0.048387096774193505,33.0,33.0,32.45,32.45,32.77,633770.0,75000.0
28/02/2020,-0.5,-0.014450867052023121,33.9,34.3,33.85,34.1,34.04,648880.0,0
27/02/2020,0.5,0.014662756598240467,33.9,34.6,33.8,34.6,34.24,619200.0,0
26/02/2020,-0.14999999999999858,-0.004379562043795579,33.7,34.35,33.7,34.1,34.14,583350.0,0
25/02/2020,0.6000000000000014,0.01783060921248147,33.1,34.4,33.1,34.25,33.84,641090.0,0
24/02/2020,-1.3500000000000014,-0.03857142857142861,34.25,34.6,33.65,33.65,34.0,1031360.0,0
21/02/2020,-0.6499999999999986,-0.018232819074333762,35.3,35.7,35.0,35.0,35.42,517740.0,0
20/02/2020,0.5,0.014224751066856329,35.5,35.7,35.1,35.65,35.36,821320.0,0
19/02/2020,0.04999999999999716,0.0014245014245013435,35.2,35.2,35.0,35.15,35.09,321530.0,0
18/02/2020,0.10000000000000142,0.002857142857142898,35.0,35.4,34.9,35.1,35.03,555770.0,0
17/02/2020,-0.14999999999999858,-0.004267425320056859,35.2,35.65,34.8,35.0,35.25,801580.0,20000.0
14/02/2020,0.3500000000000014,0.010057471264367856,34.75,35.15,34.7,35.15,34.91,419140.0,0
13/02/2020,0.04999999999999716,0.0014388489208632276,34.5,34.8,34.4,34.8,34.54,653670.0,0
12/02/2020,0.5,0.014598540145985401,34.5,35.0,34.5,34.75,34.75,784950.0,0
11/02/2020,0.7000000000000028,0.02086438152011931,33.8,34.4,33.8,34.25,34.16,751090.0,0
10/02/2020,-0.3500000000000014,-0.010324483775811251,33.5,33.9,33.5,33.55,33.59,530950.0,0
07/02/2020,-0.10000000000000142,-0.002941176470588277,34.0,34.1,33.75,33.9,33.89,615350.0,0
06/02/2020,0.7000000000000028,0.021021021021021113,33.65,34.6,33.4,34.0,33.89,936170.0,0
05/02/2020,-0.10000000000000142,-0.002994011976047947,33.6,34.1,33.3,33.3,33.59,784800.0,0
04/02/2020,-0.10000000000000142,-0.002985074626865714,33.7,34.2,33.3,33.4,33.62,797830.0,0
03/02/2020,-0.3999999999999986,-0.011799410029498483,33.1,33.85,31.85,33.5,32.54,1696970.0,0
31/01/2020,0.0,-0.0,35.5,35.75,33.9,33.9,34.95,1571820.0,0
31/01/2020,-1.8999999999999986,-0.05307262569832399,35.5,35.75,33.9,33.9,34.95,1571820.0,0
30/01/2020,-1.2000000000000028,-0.03243243243243251,36.3,36.7,35.8,35.8,36.11,966270.0,0
22/01/2020,-0.29999999999999716,-0.008042895442359173,37.5,37.5,36.6,37.0,36.91,973340.0,0
21/01/2020,0.5499999999999972,0.014965986394557746,37.0,37.5,36.9,37.3,37.25,941950.0,0
20/01/2020,0.25,0.00684931506849315,36.35,36.95,36.35,36.75,36.7,680270.0,0
17/01/2020,0.10000000000000142,0.0027472527472527865,36.25,36.95,36.25,36.5,36.68,737100.0,0
16/01/2020,0.8500000000000014,0.023909985935302434,35.75,36.5,35.65,36.4,36.19,962640.0,0
15/01/2020,-0.25,-0.0069832402234636885,35.8,35.95,35.45,35.55,35.66,504130.0,0
14/01/2020,0.04999999999999716,0.001398601398601319,35.75,36.0,35.75,35.8,35.87,304650.0,0
13/01/2020,0.04999999999999716,0.0014005602240895559,35.7,36.0,35.65,35.75,35.78,297520.0,0
10/01/2020,0.0,-0.0,35.7,36.05,35.65,35.7,35.79,444310.0,0
09/01/2020,0.0,-0.0,36.0,36.2,35.7,35.7,35.92,703580.0,0
08/01/2020,-0.9499999999999957,-0.025920873124147224,36.4,36.6,35.6,35.7,35.97,1276850.0,0
07/01/2020,0.19999999999999574,0.005486968449931295,36.5,36.85,36.4,36.65,36.58,434670.0,61130.0
06/01/2020,-0.04999999999999716,-0.0013698630136985523,36.3,37.0,36.1,36.45,36.51,494170.0,0
03/01/2020,-0.45000000000000284,-0.012178619756427679,36.95,37.05,36.5,36.5,36.86,705830.0,0
02/01/2020,0.0,-0.0,36.3,37.3,36.1,36.95,36.78,941730.0,0
02/01/2020,0.0,-0.0,36.3,37.3,36.1,36.95,36.78,941730.0,0
