date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,0.0,-0.0,172.5,172.5,169.0,170.0,170.49,129270.0,209000.0
02/03/2020,8.0,0.04938271604938271,162.0,173.0,162.0,170.0,169.62,179490.0,81000.0
28/02/2020,-11.199999999999989,-0.06466512702078515,172.3,172.3,162.0,162.0,166.83,76910.0,45000.0
27/02/2020,-3.8000000000000114,-0.02146892655367238,177.0,177.2,173.2,173.2,176.11,46300.0,31000.0
26/02/2020,-1.0,-0.005617977528089888,179.4,179.4,176.2,177.0,177.44,79880.0,169080.0
25/02/2020,0.0,-0.0,180.0,180.0,176.4,178.0,178.68,16230.0,0
24/02/2020,-2.5999999999999943,-0.014396456256921342,180.2,180.2,177.1,178.0,178.17,43780.0,605040.0
21/02/2020,0.5999999999999943,0.003333333333333302,180.0,181.6,180.0,180.6,181.03,45380.0,212000.0
20/02/2020,2.0,0.011235955056179777,180.0,180.5,178.9,180.0,179.97,280190.0,53680.0
19/02/2020,0.0,-0.0,177.0,180.0,175.0,178.0,177.81,105560.0,167400.0
18/02/2020,-8.0,-0.043010752688172046,182.5,183.0,178.0,178.0,180.13,86320.0,289180.0
17/02/2020,-3.8000000000000114,-0.02002107481559542,189.8,190.0,186.0,186.0,187.78,31460.0,173730.0
14/02/2020,-1.1999999999999886,-0.006282722513088946,192.9,193.0,189.1,189.8,190.49,38650.0,321950.0
13/02/2020,0.0,-0.0,191.8,191.8,188.0,191.0,190.88,76770.0,70000.0
12/02/2020,-3.0,-0.015463917525773196,195.9,195.9,191.0,191.0,194.07,57410.0,280360.0
11/02/2020,-1.0,-0.005128205128205127,195.0,195.0,194.0,194.0,194.85,26300.0,21000.0
10/02/2020,0.0,-0.0,199.0,199.0,195.0,195.0,196.0,69570.0,109000.0
07/02/2020,5.0,0.02631578947368421,192.0,199.0,191.0,195.0,196.64,47950.0,200000.0
06/02/2020,-4.0,-0.020618556701030924,194.0,199.0,189.3,190.0,190.84,165080.0,189120.0
05/02/2020,-9.0,-0.04433497536945813,203.0,203.0,194.0,194.0,197.38,43870.0,1376000.0
04/02/2020,-5.900000000000006,-0.028243178554332244,208.9,208.9,200.0,203.0,202.99,167140.0,0
03/02/2020,-3.0999999999999943,-0.014622641509433936,197.2,212.0,197.2,208.9,204.99,16880.0,167000.0
31/01/2020,-6.0,-0.02752293577981652,212.0,225.6,204.0,212.0,215.5,24730.0,70000.0
30/01/2020,-14.5,-0.06236559139784946,231.4,231.4,218.0,218.0,225.58,38140.0,20000.0
22/01/2020,-0.5,-0.002145922746781116,233.0,236.0,231.1,232.5,232.57,11510.0,28800.0
21/01/2020,-3.0,-0.012711864406779662,236.0,236.0,233.0,233.0,234.18,52160.0,132380.0
20/01/2020,1.5,0.006396588486140725,233.0,236.0,233.0,236.0,235.15,17170.0,20000.0
17/01/2020,1.1999999999999886,0.005143591941705908,233.3,234.5,233.0,234.5,234.27,12580.0,0
16/01/2020,-0.6999999999999886,-0.0029914529914529427,233.0,234.9,233.0,233.3,233.59,9270.0,50000.0
15/01/2020,0.0,-0.0,233.0,234.5,233.0,234.0,233.64,22540.0,40000.0
15/01/2020,1.0,0.004291845493562232,233.0,234.5,233.0,234.0,233.64,22540.0,40000.0
14/01/2020,-0.9000000000000057,-0.0038477982043608624,232.0,233.9,232.0,233.0,233.21,9340.0,0
13/01/2020,0.4000000000000057,0.0017130620985010949,233.5,235.3,233.5,233.9,233.99,22590.0,0
10/01/2020,6.5,0.028634361233480177,227.0,234.5,227.0,233.5,231.47,55770.0,118000.0
09/01/2020,3.8000000000000114,0.01702508960573482,222.0,227.9,221.0,227.0,223.57,54030.0,100000.0
08/01/2020,-0.8000000000000114,-0.003571428571428622,224.5,224.5,222.6,223.2,223.62,30610.0,0
07/01/2020,0.19999999999998863,0.0008936550491509767,222.6,224.9,222.6,224.0,224.08,15580.0,188000.0
06/01/2020,-0.799999999999983,-0.0035618878005342068,223.0,224.5,222.5,223.8,223.45,35850.0,298000.0
03/01/2020,0.5999999999999943,0.002678571428571403,224.0,227.0,224.0,224.6,225.57,17590.0,0
02/01/2020,0.0,-0.0,228.0,228.0,224.0,224.0,225.37,28600.0,45000.0
