date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-5.299999999999997,-0.0688311688311688,72.0,73.0,71.7,71.7,71.84,1582400.0,20000.0
11/03/2020,-2.9000000000000057,-0.03629536921151446,80.4,80.4,74.4,77.0,76.55,1806190.0,190370.0
10/03/2020,1.3000000000000114,0.016539440203562485,78.0,79.9,75.4,79.9,77.13,1433230.0,834010.0
09/03/2020,-5.900000000000006,-0.06982248520710066,79.0,80.9,78.6,78.6,79.25,1209500.0,213500.0
06/03/2020,1.4000000000000057,0.01684717208182919,83.0,85.7,82.0,84.5,84.09,884750.0,254220.0
05/03/2020,1.3999999999999915,0.01713586291309659,82.2,83.6,82.2,83.1,82.99,833710.0,69950.0
04/03/2020,-0.5,-0.00608272506082725,82.0,82.0,81.0,81.7,81.47,581530.0,23000.0
03/03/2020,0.4000000000000057,0.004889975550122319,83.5,83.5,82.2,82.2,82.61,848270.0,86000.0
02/03/2020,-0.6000000000000085,-0.007281553398058355,81.5,82.2,81.3,81.8,81.78,668980.0,270640.0
28/02/2020,-1.5999999999999943,-0.01904761904761898,80.1,83.4,80.1,82.4,81.9,1710080.0,500000.0
27/02/2020,-1.0,-0.011764705882352941,84.0,84.6,82.9,84.0,83.81,1227980.0,786000.0
26/02/2020,-1.2000000000000028,-0.01392111368909516,86.0,86.0,84.0,85.0,84.99,1163030.0,66220.0
25/02/2020,-1.0,-0.011467889908256878,86.0,87.0,85.8,86.2,86.22,1229530.0,0
24/02/2020,-1.7999999999999972,-0.020224719101123566,86.0,88.0,86.0,87.2,87.09,995910.0,55000.0
21/02/2020,-0.5,-0.005586592178770949,89.5,89.5,89.0,89.0,89.08,898350.0,118500.0
20/02/2020,0.0,-0.0,89.7,90.4,89.2,89.5,89.69,541120.0,104280.0
19/02/2020,0.09999999999999432,0.0011185682326621288,89.0,89.5,89.0,89.5,89.25,264010.0,55000.0
18/02/2020,0.0,-0.0,89.6,89.6,89.0,89.4,89.27,432880.0,53000.0
17/02/2020,0.10000000000000853,0.0011198208286675086,89.3,89.9,89.1,89.4,89.47,343900.0,0
14/02/2020,0.0,-0.0,89.0,89.8,89.0,89.3,89.33,432800.0,48000.0
13/02/2020,-0.10000000000000853,-0.0011185682326622878,89.2,89.5,88.8,89.3,89.09,633270.0,53000.0
12/02/2020,0.20000000000000284,0.0022421524663677446,89.8,89.8,89.1,89.4,89.42,609750.0,37000.0
11/02/2020,0.29999999999999716,0.003374578177727752,89.0,89.5,88.9,89.2,89.18,520210.0,48000.0
10/02/2020,-1.0999999999999943,-0.012222222222222159,89.2,89.5,88.5,88.9,89.0,607060.0,23000.0
07/02/2020,0.5999999999999943,0.00671140939597309,89.8,90.8,89.0,90.0,89.77,1170540.0,37000.0
06/02/2020,0.5,0.005624296962879641,89.0,90.9,88.8,89.4,89.73,889570.0,74370.0
05/02/2020,-0.8999999999999915,-0.010022271714921956,90.2,90.4,88.8,88.9,89.28,731310.0,200000.0
04/02/2020,1.0999999999999943,0.01240135287485901,89.0,89.8,87.7,89.8,88.81,1118410.0,290800.0
03/02/2020,0.0,-0.0,84.1,90.2,83.0,88.7,86.76,1457070.0,379600.0
31/01/2020,0.0,-0.0,88.0,89.8,87.7,88.7,88.7,1270160.0,75000.0
31/01/2020,-0.20000000000000284,-0.002249718785151888,88.0,89.8,87.7,88.7,88.7,1270160.0,75000.0
30/01/2020,-4.5,-0.048179871520342615,92.1,92.4,87.0,88.9,88.99,3541560.0,228000.0
22/01/2020,-0.5999999999999943,-0.006382978723404196,94.0,95.0,93.1,93.4,93.92,877710.0,31000.0
21/01/2020,0.0,-0.0,93.9,94.6,93.6,94.0,93.98,749590.0,50000.0
20/01/2020,-0.5,-0.005291005291005291,94.5,94.8,93.5,94.0,94.16,832190.0,28000.0
17/01/2020,5.0,0.055865921787709494,89.5,94.5,89.5,94.5,91.96,2219790.0,31000.0
16/01/2020,0.20000000000000284,0.0022396416573348585,89.3,90.3,88.9,89.5,89.32,1171580.0,100000.0
15/01/2020,-0.10000000000000853,-0.0011185682326622878,89.6,89.6,88.8,89.3,89.13,1471860.0,28000.0
14/01/2020,0.0,-0.0,89.5,90.0,89.1,89.4,89.39,1001130.0,0
13/01/2020,-0.09999999999999432,-0.0011173184357541265,89.0,89.8,89.0,89.4,89.23,1044640.0,677710.0
10/01/2020,0.7999999999999972,0.009019165727170205,88.7,90.4,87.9,89.5,88.66,1526920.0,69480.0
09/01/2020,1.7000000000000028,0.019540229885057502,87.7,88.9,87.7,88.7,88.24,722670.0,182980.0
08/01/2020,-0.7999999999999972,-0.009111617312072861,86.9,87.9,86.2,87.0,86.97,722280.0,120000.0
07/01/2020,0.29999999999999716,0.0034285714285713963,87.0,87.9,85.4,87.8,86.54,1013270.0,109330.0
06/01/2020,-2.4000000000000057,-0.026696329254727535,89.2,89.5,87.5,87.5,88.54,880110.0,0
03/01/2020,-0.8999999999999915,-0.00991189427312766,91.5,91.8,89.9,89.9,90.81,536130.0,0
02/01/2020,0.0,-0.0,90.2,91.4,89.7,90.8,90.68,386290.0,0
02/01/2020,0.0,-0.0,90.2,91.4,89.7,90.8,90.68,386290.0,0
