date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-4.5,-0.0588235294117647,75.5,75.5,71.2,72.0,71.79,1161120.0,0
11/03/2020,0.0,-0.0,76.5,76.8,71.2,76.5,73.94,932900.0,100000.0
10/03/2020,1.2000000000000028,0.01593625498007972,71.0,76.5,71.0,76.5,74.36,1050110.0,0
09/03/2020,-5.6000000000000085,-0.0692212608158221,78.6,78.6,75.3,75.3,75.83,973190.0,137180.0
06/03/2020,-0.09999999999999432,-0.0012345679012344976,80.0,80.9,79.0,80.9,79.81,339740.0,0
05/03/2020,0.5,0.006211180124223602,80.1,81.5,80.1,81.0,81.04,361110.0,0
04/03/2020,0.0,-0.0,79.1,80.5,78.9,80.5,79.54,901070.0,322500.0
03/03/2020,0.0,-0.0,80.5,81.1,80.2,80.5,80.5,742520.0,0
02/03/2020,0.09999999999999432,0.0012437810945272925,79.1,80.6,79.0,80.5,80.02,447980.0,0
28/02/2020,-0.3999999999999915,-0.004950495049504845,78.5,80.4,78.5,80.4,79.37,860760.0,20002.0
27/02/2020,-0.10000000000000853,-0.001236093943139784,79.9,81.0,79.0,80.8,80.11,1280250.0,0
26/02/2020,-2.1999999999999886,-0.026474127557159912,83.0,83.0,80.3,80.9,81.17,651880.0,0
25/02/2020,-0.9000000000000057,-0.010714285714285782,82.3,83.8,81.0,83.1,82.41,410300.0,0
24/02/2020,-2.0999999999999943,-0.024390243902438956,83.3,85.1,83.3,84.0,84.58,619380.0,0
21/02/2020,-0.8000000000000114,-0.009205983889528323,86.5,86.9,86.0,86.1,86.34,184170.0,0
20/02/2020,0.9000000000000057,0.010465116279069833,86.5,87.3,85.9,86.9,86.39,271380.0,0
19/02/2020,0.0,-0.0,85.6,86.5,85.2,86.0,85.93,514110.0,50000.0
18/02/2020,-0.7000000000000028,-0.00807381776239911,86.6,87.0,85.6,86.0,86.08,323870.0,100000.0
17/02/2020,-0.8999999999999915,-0.01027397260273963,88.0,88.0,86.5,86.7,87.23,164600.0,0
14/02/2020,1.5999999999999943,0.01860465116279063,85.5,88.6,85.5,87.6,87.02,481520.0,96980.0
13/02/2020,-0.5,-0.005780346820809248,86.2,86.4,85.5,86.0,86.02,421050.0,60000.0
12/02/2020,0.29999999999999716,0.003480278422273749,86.7,86.7,86.2,86.5,86.4,395320.0,50000.0
11/02/2020,0.0,-0.0,86.0,86.4,85.5,86.2,85.9,602090.0,0
10/02/2020,-0.7999999999999972,-0.009195402298850542,86.1,86.7,85.8,86.2,86.21,373600.0,0
07/02/2020,0.20000000000000284,0.002304147465437821,86.9,87.8,86.8,87.0,87.09,587610.0,50000.0
06/02/2020,0.7999999999999972,0.009302325581395316,86.3,87.0,86.0,86.8,86.43,484420.0,156260.0
05/02/2020,0.29999999999999716,0.0035005834305717287,86.8,86.8,85.4,86.0,85.74,2410370.0,329100.0
04/02/2020,0.5,0.005868544600938966,85.2,86.5,85.0,85.7,85.52,829790.0,400000.0
03/02/2020,-2.299999999999997,-0.026285714285714256,83.2,85.9,82.0,85.2,84.33,755310.0,375000.0
31/01/2020,0.0,-0.0,87.5,88.5,87.1,87.5,87.6,1284370.0,0
31/01/2020,0.09999999999999432,0.0011441647597253354,87.5,88.5,87.1,87.5,87.6,1284370.0,0
30/01/2020,-2.0,-0.022371364653243842,87.2,87.8,85.8,87.4,87.07,1414000.0,124260.0
22/01/2020,1.9000000000000057,0.02171428571428578,87.4,89.5,87.3,89.4,88.47,673070.0,155000.0
21/01/2020,1.5,0.01744186046511628,86.0,87.5,86.0,87.5,86.8,653680.0,150000.0
20/01/2020,0.0,-0.0,86.0,86.4,85.7,86.0,86.0,711830.0,130000.0
17/01/2020,-0.09999999999999432,-0.0011614401858303638,86.2,87.9,86.0,86.0,86.91,552190.0,120000.0
16/01/2020,-0.20000000000000284,-0.002317497103128654,86.4,86.4,85.9,86.1,86.06,441860.0,3604000.0
15/01/2020,0.0,-0.0,86.5,86.5,85.8,86.3,86.12,420650.0,3040000.0
14/01/2020,0.0,-0.0,86.2,86.8,86.1,86.3,86.47,361600.0,174000.0
13/01/2020,1.7999999999999972,0.02130177514792896,84.8,86.8,84.5,86.3,85.8,882160.0,299000.0
10/01/2020,1.2000000000000028,0.014405762304922003,83.3,84.9,82.7,84.5,83.9,699780.0,1275000.0
09/01/2020,0.7999999999999972,0.009696969696969662,83.4,83.7,82.9,83.3,83.27,421250.0,503310.0
08/01/2020,-1.2999999999999972,-0.015513126491646744,83.0,83.5,81.0,82.5,82.38,553690.0,0
07/01/2020,0.3999999999999915,0.004796163069544262,83.0,84.8,83.0,83.8,84.14,590360.0,0
06/01/2020,-1.7999999999999972,-0.021126760563380243,84.6,85.0,82.8,83.4,83.63,1025270.0,0
03/01/2020,0.29999999999999716,0.0035335689045936057,84.9,85.4,84.6,85.2,85.09,394470.0,0
02/01/2020,0.0,-0.0,84.5,85.5,84.5,84.9,85.05,238600.0,0
02/01/2020,0.0,-0.0,84.5,85.5,84.5,84.9,85.05,238600.0,0
