date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-5.200000000000003,-0.053608247422680444,91.0,92.3,90.3,91.8,90.9,1896270.0,0
11/03/2020,-0.7000000000000028,-0.007164790174002076,98.0,98.0,91.1,97.0,95.5,1049580.0,0
10/03/2020,0.0,-0.0,93.0,99.2,91.2,97.7,96.31,825490.0,0
09/03/2020,-7.299999999999997,-0.0695238095238095,101.5,102.0,97.7,97.7,98.19,966890.0,147700.0
06/03/2020,-0.5999999999999943,-0.005681818181818128,105.0,105.0,103.1,105.0,103.84,750830.0,0
05/03/2020,0.09999999999999432,0.0009478672985781451,105.1,105.9,103.8,105.6,105.33,352300.0,0
04/03/2020,0.0,-0.0,104.6,105.5,103.5,105.5,105.08,443810.0,25000.0
03/03/2020,0.09999999999999432,0.0009487666034155058,105.1,105.6,104.5,105.5,105.31,557950.0,0
02/03/2020,0.0,-0.0,104.0,105.4,102.7,105.4,104.71,742130.0,0
28/02/2020,-0.19999999999998863,-0.0018939393939392864,105.0,105.4,103.0,105.4,104.3,870840.0,0
27/02/2020,-0.30000000000001137,-0.002832861189801807,105.8,106.0,104.1,105.6,105.42,740420.0,233600.0
26/02/2020,-1.0999999999999943,-0.010280373831775647,104.0,106.6,104.0,105.9,105.85,625410.0,0
25/02/2020,-0.29999999999999716,-0.0027958993476234597,106.7,107.3,105.9,107.0,106.49,543820.0,0
24/02/2020,-2.6000000000000085,-0.02365787079162883,107.1,108.0,105.5,107.3,106.85,1428650.0,24000.0
21/02/2020,-0.09999999999999432,-0.0009090909090908574,108.6,110.0,107.8,109.9,109.33,309060.0,0
20/02/2020,5.0,0.047619047619047616,106.0,110.0,105.0,110.0,107.06,353570.0,0
19/02/2020,0.5,0.004784688995215311,103.5,107.0,103.5,105.0,105.24,875320.0,0
18/02/2020,-3.5,-0.032407407407407406,107.0,107.0,104.0,104.5,104.57,791870.0,100000.0
17/02/2020,-2.0,-0.01818181818181818,110.0,110.0,105.0,108.0,107.22,742220.0,200000.0
14/02/2020,-2.4000000000000057,-0.02135231316725984,112.3,112.6,110.0,110.0,111.2,252390.0,150000.0
13/02/2020,0.4000000000000057,0.003571428571428622,111.5,112.7,111.4,112.4,112.21,285340.0,0
12/02/2020,-1.4000000000000057,-0.012345679012345729,113.4,113.4,112.0,112.0,112.44,452790.0,0
11/02/2020,-0.29999999999999716,-0.0026385224274406084,113.5,114.2,113.0,113.4,113.64,290630.0,0
10/02/2020,-0.7000000000000028,-0.006118881118881143,113.0,114.1,113.0,113.7,113.66,192700.0,0
07/02/2020,0.0,-0.0,114.0,114.4,112.0,114.4,113.69,1295520.0,63340.0
06/02/2020,-0.09999999999999432,-0.0008733624454147975,114.5,114.7,112.8,114.4,114.01,676290.0,75710.0
05/02/2020,-0.29999999999999716,-0.002613240418118443,114.8,114.8,113.0,114.5,113.55,468420.0,376370.0
04/02/2020,0.0,-0.0,113.6,114.8,111.8,114.8,113.56,1485500.0,0
03/02/2020,0.0,-0.0,113.8,114.8,112.3,114.8,113.89,760420.0,0
31/01/2020,0.0,-0.0,114.9,114.9,113.6,114.8,114.67,831740.0,0
31/01/2020,-0.10000000000000853,-0.0008703220191471587,114.9,114.9,113.6,114.8,114.67,831740.0,0
30/01/2020,0.0,-0.0,114.1,114.9,112.1,114.9,114.36,682720.0,0
22/01/2020,0.0,-0.0,114.9,114.9,114.2,114.9,114.65,371780.0,0
21/01/2020,0.0,-0.0,114.3,115.0,114.3,114.9,114.71,181510.0,26000.0
20/01/2020,0.0,-0.0,114.9,114.9,114.3,114.9,114.57,370670.0,0
17/01/2020,-0.09999999999999432,-0.0008695652173912549,114.9,115.1,114.4,114.9,114.92,169100.0,0
16/01/2020,0.0,-0.0,115.0,115.1,114.3,115.0,114.84,186740.0,2544785.0
15/01/2020,0.0,-0.0,115.0,115.0,114.3,115.0,114.64,205600.0,30000.0
14/01/2020,0.09999999999999432,0.000870322019147035,114.9,115.1,114.3,115.0,114.89,101150.0,2920000.0
13/01/2020,0.10000000000000853,0.0008710801393728966,114.7,115.1,114.5,114.9,114.86,146680.0,0
10/01/2020,0.09999999999999432,0.0008718395815169512,115.0,115.0,114.7,114.8,114.84,159120.0,0
09/01/2020,0.4000000000000057,0.0034995625546807145,114.3,115.1,114.2,114.7,114.55,273870.0,96000.0
08/01/2020,-0.4000000000000057,-0.003487358326068053,114.5,114.7,113.6,114.3,114.01,468910.0,0
07/01/2020,0.20000000000000284,0.0017467248908297193,114.5,115.0,114.3,114.7,114.61,183910.0,0
06/01/2020,-0.7999999999999972,-0.006938421509106654,115.0,115.0,114.4,114.5,114.74,301910.0,0
03/01/2020,0.29999999999999716,0.0026086956521738885,115.0,115.3,114.3,115.3,115.03,248940.0,0
02/01/2020,0.0,-0.0,114.9,115.0,114.0,115.0,114.66,440280.0,0
02/01/2020,0.0,-0.0,114.9,115.0,114.0,115.0,114.66,440280.0,0
