date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,0.0,-0.0,120.5,121.9,120.3,120.8,121.19,335300.0,0
02/03/2020,-1.1000000000000085,-0.009023789991796625,121.0,121.0,119.4,120.8,120.22,339750.0,0
28/02/2020,-0.8999999999999915,-0.00732899022801296,122.0,122.7,121.8,121.9,122.24,305420.0,150000.0
27/02/2020,-2.200000000000003,-0.017600000000000022,125.0,125.0,122.7,122.8,123.63,243980.0,150000.0
26/02/2020,-2.0,-0.015748031496062992,125.5,125.6,124.8,125.0,125.21,388100.0,0
25/02/2020,-1.0,-0.0078125,127.8,127.8,125.2,127.0,126.32,247200.0,0
24/02/2020,-0.5999999999999943,-0.00466562986003106,128.4,128.5,127.3,128.0,127.97,306570.0,0
21/02/2020,0.09999999999999432,0.0007782101167314732,128.5,128.8,128.4,128.6,128.63,371740.0,1004350.0
20/02/2020,0.09999999999999432,0.0007788161993769027,128.4,128.7,128.0,128.5,128.45,257700.0,0
19/02/2020,-0.29999999999998295,-0.0023310023310021987,128.7,128.7,128.3,128.4,128.51,377580.0,430650.0
18/02/2020,0.0,-0.0,128.8,128.8,128.4,128.7,128.62,347240.0,0
17/02/2020,0.09999999999999432,0.0007776049766718066,128.5,128.9,128.5,128.7,128.73,324750.0,0
14/02/2020,-0.5999999999999943,-0.00464396284829717,129.2,129.2,128.4,128.6,128.56,280880.0,510000.0
13/02/2020,0.0,-0.0,128.9,129.2,128.4,129.2,128.72,362740.0,0
12/02/2020,0.19999999999998863,0.0015503875968991367,129.1,129.2,128.4,129.2,128.78,372700.0,504300.0
11/02/2020,0.0,-0.0,129.0,129.1,128.3,129.0,128.82,345280.0,20000.0
10/02/2020,-2.1999999999999886,-0.016768292682926744,131.0,131.0,128.8,129.0,129.36,269590.0,0
07/02/2020,3.6999999999999886,0.029019607843137164,127.6,131.9,127.4,131.2,130.21,502280.0,0
06/02/2020,0.5,0.003937007874015748,126.8,127.9,126.3,127.5,127.04,422850.0,0
05/02/2020,-2.0,-0.01550387596899225,129.0,129.3,126.8,127.0,127.16,477530.0,0
04/02/2020,3.5,0.02788844621513944,125.5,129.8,125.4,129.0,128.18,271820.0,0
03/02/2020,-4.699999999999989,-0.036098310291858594,121.1,125.5,121.1,125.5,122.33,1089690.0,0
31/01/2020,-9.800000000000011,-0.07000000000000008,139.7,139.7,130.2,130.2,130.95,489090.0,500000.0
30/01/2020,-6.5,-0.04436860068259386,145.0,145.0,140.0,140.0,141.65,565700.0,0
22/01/2020,-0.5,-0.003401360544217687,147.0,147.0,146.5,146.5,146.77,365030.0,0
21/01/2020,0.0,-0.0,147.0,147.2,146.5,147.0,146.91,369200.0,0
20/01/2020,-1.1999999999999886,-0.008097165991902758,148.2,148.2,147.0,147.0,147.54,341310.0,879700.0
17/01/2020,2.1999999999999886,0.015068493150684854,146.0,148.4,146.0,148.2,147.34,506950.0,501400.0
16/01/2020,0.0,-0.0,146.0,146.3,145.8,146.0,146.07,404540.0,830300.0
15/01/2020,0.0,-0.0,145.9,146.0,145.3,146.0,145.65,422930.0,0
15/01/2020,0.0,-0.0,145.9,146.0,145.3,146.0,145.65,422930.0,0
14/01/2020,-0.5,-0.003412969283276451,146.5,146.5,145.8,146.0,146.13,486130.0,50000.0
13/01/2020,0.30000000000001137,0.002051983584131405,146.2,146.5,145.9,146.5,146.15,466570.0,765000.0
10/01/2020,0.0,-0.0,146.2,146.3,145.3,146.2,145.85,483900.0,0
09/01/2020,1.3999999999999773,0.00966850828729266,144.8,146.2,144.7,146.2,145.52,451440.0,0
08/01/2020,-1.0999999999999943,-0.0075394105551747385,145.7,145.8,144.0,144.8,144.76,417200.0,0
07/01/2020,-0.09999999999999432,-0.0006849315068492762,145.8,146.0,145.5,145.9,145.81,360760.0,0
06/01/2020,-2.0,-0.013513513513513513,147.8,147.8,145.6,146.0,146.66,334350.0,200000.0
03/01/2020,0.0,-0.0,148.0,148.8,147.5,148.0,148.28,350790.0,0
02/01/2020,0.0,-0.0,146.3,148.0,146.3,148.0,146.93,419710.0,0
