date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
12/03/2020,-0.6999999999999886,-0.006889763779527448,97.2,101.5,97.0,100.9,98.25,2431600.0,710000.0
11/03/2020,-0.10000000000000853,-0.0009832841691249608,102.0,105.0,99.2,101.6,102.35,2292410.0,364740.0
10/03/2020,4.700000000000003,0.04845360824742271,96.0,101.8,96.0,101.7,99.88,1761300.0,594900.0
09/03/2020,-7.200000000000003,-0.06909788867562383,100.0,102.5,97.0,97.0,99.53,2356790.0,220000.0
06/03/2020,-0.29999999999999716,-0.0028708133971291593,104.5,104.8,103.6,104.2,103.98,664920.0,450000.0
05/03/2020,-0.29999999999999716,-0.0028625954198473014,105.0,105.9,104.5,104.5,105.02,438020.0,457450.0
04/03/2020,-0.5,-0.004748338081671415,105.3,106.0,104.5,104.8,105.11,612800.0,538400.0
03/03/2020,0.7999999999999972,0.00765550239234447,105.5,106.2,104.6,105.3,105.31,741380.0,1338420.0
02/03/2020,0.0,-0.0,104.5,105.5,103.8,104.5,104.86,909240.0,833360.0
28/02/2020,-2.9000000000000057,-0.027001862197392975,105.3,106.1,103.0,104.5,104.59,1437350.0,7000580.0
27/02/2020,2.4000000000000057,0.022857142857142913,105.0,107.4,103.8,107.4,105.58,863890.0,1185780.0
26/02/2020,-3.0,-0.027777777777777776,106.7,106.7,105.0,105.0,105.93,1346630.0,475690.0
25/02/2020,1.5999999999999943,0.015037593984962351,106.3,108.5,106.0,108.0,107.53,1200220.0,640000.0
24/02/2020,-2.0999999999999943,-0.019354838709677368,107.0,107.8,106.0,106.4,106.43,954600.0,135430.0
21/02/2020,2.0999999999999943,0.019736842105263105,107.5,109.4,107.5,108.5,108.63,1484500.0,0
20/02/2020,0.0,-0.0,107.0,107.5,106.3,106.4,106.83,624620.0,100000.0
19/02/2020,0.9000000000000057,0.008530805687203845,105.0,106.7,105.0,106.4,105.94,794470.0,0
18/02/2020,-2.0,-0.018604651162790697,107.8,107.8,105.3,105.5,106.37,1078500.0,0
17/02/2020,0.9000000000000057,0.008442776735459716,106.8,107.6,106.8,107.5,107.3,623350.0,450000.0
14/02/2020,-0.30000000000001137,-0.002806361085126392,107.2,107.4,106.6,106.6,106.93,708080.0,176440.0
13/02/2020,-0.29999999999999716,-0.00279850746268654,107.2,107.5,106.6,106.9,106.91,713560.0,0
12/02/2020,0.0,-0.0,108.0,108.0,107.2,107.2,107.67,838170.0,0
11/02/2020,-1.7999999999999972,-0.01651376146788988,109.0,109.0,107.0,107.2,107.84,885960.0,361010.0
10/02/2020,-1.2000000000000028,-0.010889292196007285,109.0,109.4,107.3,109.0,108.44,910510.0,0
07/02/2020,2.700000000000003,0.025116279069767468,107.7,110.5,107.6,110.2,109.18,1523380.0,1185150.0
06/02/2020,0.9000000000000057,0.008442776735459716,106.0,108.6,105.9,107.5,107.31,2137020.0,190840.0
05/02/2020,1.5999999999999943,0.015238095238095184,106.4,107.7,103.3,106.6,105.21,1545750.0,490000.0
04/02/2020,-3.299999999999997,-0.0304709141274238,109.9,110.0,104.1,105.0,106.59,1869040.0,100000.0
03/02/2020,-0.20000000000000284,-0.0018433179723502567,101.5,110.5,101.0,108.3,104.31,2289150.0,338980.0
31/01/2020,0.0,-0.0,116.4,116.6,108.5,108.5,111.94,1915820.0,727450.0
31/01/2020,-8.099999999999994,-0.06946826758147508,116.4,116.6,108.5,108.5,111.94,1915820.0,727450.0
30/01/2020,-4.700000000000003,-0.0387469084913438,119.0,119.8,116.2,116.6,117.65,1533720.0,945190.0
22/01/2020,0.29999999999999716,0.002479338842975183,121.0,121.9,121.0,121.3,121.43,794440.0,2047320.0
21/01/2020,2.0,0.01680672268907563,119.0,121.9,118.6,121.0,120.09,853940.0,901260.0
20/01/2020,0.4000000000000057,0.003372681281618935,119.0,119.2,118.4,119.0,118.84,493600.0,1153860.0
17/01/2020,0.3999999999999915,0.003384094754653058,118.2,118.6,117.8,118.6,118.38,375030.0,223490.0
16/01/2020,0.4000000000000057,0.0033955857385399467,117.8,118.5,117.2,118.2,117.87,545090.0,141500.0
15/01/2020,0.0,-0.0,117.8,117.9,117.2,117.8,117.64,681740.0,115000.0
14/01/2020,0.3999999999999915,0.00340715502555359,117.4,118.1,117.1,117.8,117.76,335180.0,400000.0
13/01/2020,-1.5,-0.012615643397813287,119.0,119.0,117.4,117.4,118.3,412880.0,206940.0
10/01/2020,0.30000000000001137,0.0025295109612142614,118.6,119.2,118.4,118.9,118.85,596280.0,389230.0
09/01/2020,-0.20000000000000284,-0.0016835016835017075,119.0,119.5,118.4,118.6,119.02,624130.0,777910.0
08/01/2020,0.29999999999999716,0.0025316455696202294,118.5,118.8,117.5,118.8,118.15,837710.0,0
07/01/2020,1.0999999999999943,0.009369676320272524,117.5,118.8,117.5,118.5,118.25,459520.0,0
06/01/2020,-0.8999999999999915,-0.0076077768385459975,118.0,118.2,116.8,117.4,117.62,495910.0,100006.0
03/01/2020,0.3999999999999915,0.003392705682781946,118.2,119.0,118.2,118.3,118.65,625390.0,0
02/01/2020,0.0,-0.0,117.0,118.2,116.5,117.9,117.53,352700.0,0
02/01/2020,0.0,-0.0,117.0,118.2,116.5,117.9,117.53,352700.0,0
