date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,0.19999999999999574,0.003590664272890408,56.2,57.0,55.7,55.9,56.18,1193800.0,294600.0
02/03/2020,0.6000000000000014,0.010889292196007285,55.1,56.2,54.8,55.7,55.5,1787060.0,63000.0
28/02/2020,-0.8999999999999986,-0.016071428571428546,55.0,55.7,54.6,55.1,54.99,2132200.0,331000.0
27/02/2020,1.0,0.01818181818181818,55.0,56.5,54.6,56.0,55.69,2927040.0,219448.0
26/02/2020,1.0,0.018518518518518517,53.4,55.2,53.0,55.0,54.61,3221270.0,20000.0
25/02/2020,1.5,0.02857142857142857,52.1,54.0,52.0,54.0,52.79,1407720.0,0
24/02/2020,-2.200000000000003,-0.04021937842778798,53.1,53.9,52.5,52.5,53.11,2261990.0,20000.0
21/02/2020,-1.0999999999999943,-0.019713261648745418,55.9,55.9,54.7,54.7,55.25,1458040.0,0
20/02/2020,0.09999999999999432,0.0017953321364451403,56.1,56.4,55.5,55.8,55.79,780810.0,0
19/02/2020,-0.29999999999999716,-0.005357142857142806,55.9,56.2,55.5,55.7,55.9,681250.0,75930.0
18/02/2020,1.7999999999999972,0.03321033210332098,54.4,56.0,54.3,56.0,55.23,1760940.0,51644.0
17/02/2020,-0.29999999999999716,-0.005504587155963251,54.6,54.6,54.0,54.2,54.24,726390.0,270000.0
14/02/2020,0.20000000000000284,0.0036832412523020784,54.1,54.5,54.0,54.5,54.25,884240.0,47000.0
13/02/2020,0.19999999999999574,0.003696857670979588,54.1,54.5,53.7,54.3,54.02,1030570.0,0
12/02/2020,0.5,0.009328358208955223,53.8,54.7,53.7,54.1,54.19,1104870.0,0
11/02/2020,1.0,0.019011406844106463,52.9,53.7,52.7,53.6,53.38,1085380.0,0
10/02/2020,-0.6999999999999957,-0.013133208255159396,52.4,53.0,52.1,52.6,52.55,738090.0,0
07/02/2020,-0.30000000000000426,-0.005597014925373214,53.0,53.5,52.8,53.3,53.09,1218660.0,0
06/02/2020,1.6000000000000014,0.030769230769230792,52.5,53.6,51.8,53.6,52.73,1708550.0,25200.0
05/02/2020,0.20000000000000284,0.003861003861003916,52.3,52.8,52.0,52.0,52.37,1648620.0,0
04/02/2020,0.29999999999999716,0.005825242718446546,52.4,52.4,51.0,51.8,51.75,1651440.0,0
03/02/2020,-0.5,-0.009615384615384616,49.6,52.5,49.0,51.5,50.21,3602970.0,0
31/01/2020,-2.700000000000003,-0.04936014625228524,54.0,54.9,52.0,52.0,53.01,4118150.0,252900.0
30/01/2020,-1.7999999999999972,-0.03185840707964597,55.3,55.8,53.9,54.7,54.98,2638460.0,334000.0
22/01/2020,1.0,0.018018018018018018,55.0,56.5,54.7,56.5,55.39,3165650.0,0
21/01/2020,-1.8999999999999986,-0.033101045296167225,57.8,58.0,55.5,55.5,56.53,4351820.0,99900.0
20/01/2020,-0.20000000000000284,-0.0034722222222222715,57.5,58.0,57.2,57.4,57.54,1227100.0,573800.0
17/01/2020,-0.3999999999999986,-0.006896551724137907,58.0,58.1,57.0,57.6,57.53,1388810.0,0
16/01/2020,1.0,0.017543859649122806,57.0,58.2,57.0,58.0,57.77,1942970.0,0
15/01/2020,0.0,-0.0,57.0,57.1,56.8,57.0,56.95,940870.0,92150.0
15/01/2020,0.0,-0.0,57.0,57.1,56.8,57.0,56.95,940870.0,92150.0
14/01/2020,-0.10000000000000142,-0.0017513134851138603,57.1,57.4,57.0,57.0,57.16,721680.0,83700.0
13/01/2020,-0.3999999999999986,-0.00695652173913041,57.4,57.6,57.0,57.1,57.18,786760.0,39000.0
10/01/2020,-0.10000000000000142,-0.0017361111111111357,57.5,57.8,57.1,57.5,57.42,1018650.0,0
09/01/2020,0.8000000000000043,0.014084507042253596,57.3,57.7,57.1,57.6,57.43,967050.0,0
08/01/2020,-1.3000000000000043,-0.022375215146299556,57.5,57.7,56.8,56.8,57.13,1814290.0,24230.0
07/01/2020,1.1000000000000014,0.019298245614035113,57.3,58.1,57.0,58.1,57.63,837240.0,0
06/01/2020,-0.6000000000000014,-0.01041666666666669,57.1,57.6,56.8,57.0,57.16,1091660.0,0
03/01/2020,-1.0,-0.017064846416382253,58.9,59.1,57.4,57.6,58.08,2047880.0,0
02/01/2020,0.0,-0.0,58.3,59.0,58.0,58.6,58.6,896720.0,0
