date,change_value,change_percent,open_price,high_price,low_price,close_price,adjust_price,match_volumn,reconcile_volumn
03/03/2020,-0.29999999999999716,-0.014018691588784915,21.3,21.55,19.95,21.1,21.19,2658250.0,0
02/03/2020,-0.25,-0.011547344110854502,21.65,21.7,21.15,21.4,21.39,2381980.0,1844000.0
28/02/2020,-0.45000000000000284,-0.020361990950226373,21.75,21.95,21.5,21.65,21.71,2728040.0,150000.0
27/02/2020,0.3000000000000007,0.01376146788990829,21.6,22.7,21.6,22.1,22.3,3173970.0,350000.0
26/02/2020,-0.09999999999999787,-0.004566210045662003,21.9,22.0,21.8,21.8,21.94,2712300.0,1844000.0
25/02/2020,0.04999999999999716,0.002288329519450671,21.5,22.2,21.5,21.9,22.03,2499440.0,1392000.0
24/02/2020,-0.14999999999999858,-0.006818181818181754,22.0,22.0,21.5,21.85,21.83,2546690.0,2390000.0
21/02/2020,0.0,-0.0,22.0,22.4,21.8,22.0,22.16,2689720.0,0
20/02/2020,0.0,-0.0,22.4,22.5,21.8,22.0,22.08,2413050.0,440000.0
19/02/2020,0.3500000000000014,0.016166281755196372,21.65,22.2,21.45,22.0,21.81,2668960.0,4362000.0
18/02/2020,0.3999999999999986,0.01882352941176464,21.25,21.7,21.0,21.65,21.48,2524060.0,0
17/02/2020,0.05000000000000071,0.0023584905660377696,20.95,21.3,20.6,21.25,21.05,2244210.0,0
14/02/2020,0.09999999999999787,0.004739336492890894,21.1,21.6,21.0,21.2,21.25,2646120.0,1422000.0
13/02/2020,1.3500000000000014,0.06835443037974691,21.0,21.1,20.8,21.1,21.02,2652950.0,0
12/02/2020,1.25,0.06756756756756757,19.3,19.75,19.1,19.75,19.61,1141920.0,20000.0
11/02/2020,0.5,0.027777777777777776,18.0,18.5,17.7,18.5,17.93,1424250.0,999000.0
10/02/2020,0.0,-0.0,17.9,18.0,17.6,18.0,17.82,1172120.0,0
07/02/2020,0.0,-0.0,17.85,18.0,17.7,18.0,17.88,1189610.0,0
06/02/2020,0.25,0.014084507042253523,17.6,18.0,17.6,18.0,17.79,1159630.0,31685.0
05/02/2020,-0.05000000000000071,-0.0028089887640449836,17.75,17.8,17.3,17.75,17.54,1233740.0,140000.0
04/02/2020,-0.1999999999999993,-0.011111111111111072,18.0,18.1,17.75,17.8,17.9,1080060.0,0
03/02/2020,-0.5500000000000007,-0.029649595687331574,18.5,18.5,18.0,18.0,18.32,1176470.0,160000.0
31/01/2020,-0.05000000000000071,-0.0026881720430107906,18.65,18.65,18.45,18.55,18.53,1377900.0,0
30/01/2020,0.0,-0.0,18.6,18.6,18.4,18.6,18.52,1265830.0,0
22/01/2020,0.15000000000000213,0.008130081300813123,18.45,18.6,18.3,18.6,18.39,1340690.0,0
21/01/2020,-0.05000000000000071,-0.002702702702702741,18.4,18.5,18.4,18.45,18.45,1213840.0,244000.0
20/01/2020,0.0,-0.0,18.5,18.5,18.3,18.5,18.39,1220390.0,3300000.0
17/01/2020,-0.10000000000000142,-0.005376344086021581,18.5,18.5,18.4,18.5,18.43,1465060.0,289550.0
16/01/2020,-0.09999999999999787,-0.005347593582887587,18.7,18.7,18.55,18.6,18.6,1858230.0,1451010.0
15/01/2020,0.0,-0.0,18.6,18.7,18.55,18.7,18.6,1135920.0,0
15/01/2020,0.05000000000000071,0.0026809651474531213,18.6,18.7,18.55,18.7,18.6,1135920.0,0
14/01/2020,-0.05000000000000071,-0.0026737967914438883,18.65,18.7,18.5,18.65,18.63,1162070.0,451000.0
13/01/2020,0.0,-0.0,18.7,18.75,18.55,18.7,18.65,1393950.0,0
10/01/2020,0.0,-0.0,18.7,18.75,18.5,18.7,18.6,1449550.0,490000.0
09/01/2020,0.09999999999999787,0.0053763440860213904,18.6,18.7,18.45,18.7,18.6,1142480.0,490000.0
08/01/2020,-0.09999999999999787,-0.005347593582887587,18.6,18.6,18.35,18.6,18.51,1228120.0,0
07/01/2020,0.09999999999999787,0.0053763440860213904,18.65,18.7,18.5,18.7,18.59,1161080.0,0
06/01/2020,0.0,-0.0,18.55,18.6,18.45,18.6,18.49,1169180.0,0
03/01/2020,0.0,-0.0,18.6,18.65,18.35,18.6,18.5,1138760.0,0
02/01/2020,0.0,-0.0,18.55,18.6,18.35,18.6,18.46,1246310.0,0
